Regulator	Target
ENSG00000174775	ENSG00000136754
ENSG00000165458	ENSG00000136754
ENSG00000174021	ENSG00000136754
ENSG00000162434	ENSG00000136754
ENSG00000078369	ENSG00000136754
ENSG00000065054	ENSG00000136754
ENSG00000011405	ENSG00000136754
ENSG00000111241	ENSG00000136754
ENSG00000160691	ENSG00000136754
ENSG00000172380	ENSG00000136754
ENSG00000211897	ENSG00000136754
ENSG00000105401	ENSG00000136754
ENSG00000182866	ENSG00000136754
ENSG00000136238	ENSG00000136754
ENSG00000107831	ENSG00000136754
ENSG00000065361	ENSG00000136754
ENSG00000141736	ENSG00000136754
ENSG00000186469	ENSG00000136754
ENSG00000176533	ENSG00000136754
ENSG00000086730	ENSG00000136754
ENSG00000132376	ENSG00000136754
ENSG00000105647	ENSG00000136754
ENSG00000172354	ENSG00000136754
ENSG00000145675	ENSG00000136754
ENSG00000100385	ENSG00000136754
ENSG00000114450	ENSG00000136754
ENSG00000100311	ENSG00000136754
ENSG00000113070	ENSG00000136754
ENSG00000080824	ENSG00000136754
ENSG00000075388	ENSG00000136754
ENSG00000141456	ENSG00000136754
ENSG00000257923	ENSG00000136754
ENSG00000276293	ENSG00000136754
ENSG00000142627	ENSG00000136754
ENSG00000140285	ENSG00000136754
ENSG00000157404	ENSG00000136754
ENSG00000197461	ENSG00000136754
ENSG00000165025	ENSG00000136754
ENSG00000198821	ENSG00000136754
ENSG00000139144	ENSG00000136754
ENSG00000113578	ENSG00000136754
ENSG00000043462	ENSG00000136754
ENSG00000171608	ENSG00000136754
ENSG00000070193	ENSG00000136754
ENSG00000134962	ENSG00000136754
ENSG00000121741	ENSG00000136754
ENSG00000213658	ENSG00000136754
ENSG00000077782	ENSG00000136754
ENSG00000127920	ENSG00000136754
ENSG00000174808	ENSG00000136754
ENSG00000111605	ENSG00000136754
ENSG00000157168	ENSG00000136754
ENSG00000197122	ENSG00000136754
ENSG00000095970	ENSG00000136754
ENSG00000204592	ENSG00000136754
ENSG00000186111	ENSG00000136754
ENSG00000111664	ENSG00000136754
ENSG00000185950	ENSG00000136754
ENSG00000276231	ENSG00000136754
ENSG00000162344	ENSG00000136754
ENSG00000169242	ENSG00000136754
ENSG00000068078	ENSG00000136754
ENSG00000070388	ENSG00000136754
ENSG00000134853	ENSG00000136754
ENSG00000186895	ENSG00000136754
ENSG00000158458	ENSG00000136754
ENSG00000211896	ENSG00000136754
ENSG00000112715	ENSG00000136754
ENSG00000078579	ENSG00000136754
ENSG00000178568	ENSG00000136754
ENSG00000167083	ENSG00000136754
ENSG00000109062	ENSG00000136754
ENSG00000107242	ENSG00000136754
ENSG00000196535	ENSG00000136754
ENSG00000179295	ENSG00000136754
ENSG00000166225	ENSG00000136754
ENSG00000203747	ENSG00000136754
ENSG00000211598	ENSG00000136754
ENSG00000069966	ENSG00000136754
ENSG00000011600	ENSG00000136754
ENSG00000105639	ENSG00000136754
ENSG00000102678	ENSG00000136754
ENSG00000166710	ENSG00000136754
ENSG00000167103	ENSG00000136754
ENSG00000150337	ENSG00000136754
ENSG00000141968	ENSG00000136754
ENSG00000133056	ENSG00000136754
ENSG00000169919	ENSG00000136754
ENSG00000134539	ENSG00000136754
ENSG00000160867	ENSG00000136754
ENSG00000010810	ENSG00000136754
ENSG00000138675	ENSG00000136754
ENSG00000211892	ENSG00000136754
ENSG00000133703	ENSG00000136754
ENSG00000127588	ENSG00000136754
ENSG00000169047	ENSG00000136754
ENSG00000102882	ENSG00000136754
ENSG00000242616	ENSG00000136754
ENSG00000118972	ENSG00000136754
ENSG00000185737	ENSG00000136754
ENSG00000243466	ENSG00000136754
ENSG00000109471	ENSG00000136754
ENSG00000177885	ENSG00000136754
ENSG00000146648	ENSG00000136754
ENSG00000105851	ENSG00000136754
ENSG00000158815	ENSG00000136754
ENSG00000051382	ENSG00000136754
ENSG00000119397	ENSG00000136754
ENSG00000163519	ENSG00000136754
ENSG00000122779	ENSG00000136754
