TCGA.EB.A6QZ	TCGA.EB.A5KH	TCGA.EB.A6QY	TCGA.EB.A553	TCGA.EB.A57M	TCGA.EB.A85J	TCGA.D3.A51H	TCGA.EB.A3Y6	TCGA.EB.A5SH	TCGA.EB.A5UL	TCGA.W3.A825	TCGA.EB.A3XC
ENSG00000006128	1	1	0	0	13	0	0	1	0	0	115	2
ENSG00000006194	2449	1117	2469	752	1835	1910	1395	1651	2589	1800	2784	1170
ENSG00000006210	3629	6026	559	291	4470	744	617	2585	1247	3564	2189	815
ENSG00000006282	8901	6670	3290	7233	5696	4043	3816	11201	4030	3964	1482	1994
ENSG00000006283	45	8	36	18	235	3	43	49	45	5	78	33
ENSG00000006327	1965	650	4663	3690	1869	1385	2230	2636	311	1685	1339	7222
ENSG00000006377	9	172	12	0	41	49	15	186	208	51	268	5
ENSG00000006432	175	64	1360	179	338	87	312	328	114	482	244	470
ENSG00000006451	2515	1518	4239	2060	2412	3670	1525	3155	1035	4922	4039	5316
ENSG00000006453	230	5730	2810	2621	1048	398	402	1736	1835	2514	617	3984
ENSG00000006459	598	228	771	199	518	975	1139	696	275	1054	1775	517
ENSG00000006468	2434	358	2715	1079	474	997	442	3804	552	2708	2884	1847
ENSG00000006530	2333	990	4843	1809	1556	1223	1938	2598	819	3000	2423	2655
ENSG00000006534	1078	5570	985	774	3640	2370	628	1249	5701	587	774	814
ENSG00000006555	17	4	937	11	550	55	167	52	14	48	51	277
ENSG00000006576	1636	229	3113	461	361	726	1608	1991	219	1662	1078	2090
ENSG00000006606	5	7	7	14	3	3	3	6	7	8	7	11
ENSG00000006607	7656	5886	10088	865	2259	5996	1572	12387	8083	13532	2505	2543
ENSG00000006611	4	0	0	0	1	8	16	0	0	0	33	0
ENSG00000006625	2661	1005	2985	975	1436	1400	884	3003	681	3070	1137	5394
ENSG00000006634	714	254	1971	452	155	645	695	1247	94	1605	555	2423
ENSG00000006638	91	48	36	135	202	114	144	806	496	186	603	72
ENSG00000006652	1265	621	5214	2783	1572	1739	1170	3238	149	5406	2240	6189
ENSG00000006659	0	0	0	0	0	0	2	0	1	0	0	0
ENSG00000006695	1160	821	1049	338	847	1061	473	1199	816	960	916	779
ENSG00000006704	1401	5583	1095	388	3742	1734	200	1126	3762	1897	2194	1028
ENSG00000006712	6840	2864	4701	2295	4586	3919	2633	3509	3996	2978	2798	3292
ENSG00000006715	5152	3230	7841	1687	3414	2627	1704	6315	1992	5052	3662	4753
ENSG00000006740	28	37	67	38	130	40	202	24	59	72	241	36
ENSG00000006744	6721	4683	5287	2066	5525	6279	2519	6463	5885	4979	4213	4831
ENSG00000006747	759	1937	319	665	15618	19220	318	5112	7343	157	106	2841
ENSG00000006756	3527	1892	1375	688	2056	1432	661	6415	5300	2179	3051	1330
ENSG00000006757	1216	877	801	198	647	597	528	3467	861	998	747	974
ENSG00000006788	0	0	98	1	52	2	7	0	0	1	3	24
ENSG00000006831	10587	9259	11887	2459	8565	6316	3149	6938	20232	8506	4437	6871
ENSG00000006837	42	9	45	16	17	31	62	111	9	25	76	9
ENSG00000007001	1	1	7	0	7	1	4	2	3	6	1	1
ENSG00000007038	1	658	0	8	3	287	34	1266	5	196	16	3651
ENSG00000007047	1945	5084	1810	1663	3104	2083	1331	2447	6704	3599	3198	958
ENSG00000007062	440	28	328	31	306	42	11	89	148	206	129	247
ENSG00000007080	5680	5408	3033	5033	4960	6971	2433	4479	5035	4360	2809	3863
ENSG00000007129	6	20	15	13	31	152	334	64	26	154	147	18
ENSG00000007168	7222	3182	10686	1651	4798	7374	3692	9220	3255	6534	8534	5430
ENSG00000007171	69	484	6	12	73	750	79	26	30	19	127	26
ENSG00000007174	454	0	16	3	15	11	7	106	2	10	253	87
ENSG00000007202	13188	9418	13280	2733	8592	7799	4347	12158	8999	10960	7859	5502
ENSG00000007216	0	0	7	10	418	0	2	0	0	0	21	0
ENSG00000007237	54827	31599	7441	1302	27069	18871	2574	29386	27504	16522	37147	8269
ENSG00000007255	1694	1780	326	499	1699	2299	1092	1333	2901	2622	819	636
ENSG00000007264	31	24	51	170	78	278	421	43	192	213	232	85
ENSG00000007306	2	0	15	3	107	65	8	1	0	0	1	2
ENSG00000007312	65	170	79	123	258	564	11617	254	856	958	371	80
ENSG00000007314	11	26	8	61	26	5	127	10	98	16	13	41
ENSG00000007341	927	437	767	144	521	372	290	592	297	453	324	595
ENSG00000007350	171	154	206	23	21	614	20	293	118	1806	18	302
