TCGA.3B.A9HP	TCGA.X9.A971	TCGA.3B.A9I0	TCGA.K1.A3PN	TCGA.IE.A3OV	TCGA.3B.A9HR	TCGA.DX.A8BV	TCGA.3B.A9HL	TCGA.X6.A8C4	TCGA.DX.A6YX	TCGA.DX.A3LU	TCGA.3B.A9HV	TCGA.FX.A48G	TCGA.DX.A3UC	TCGA.DX.A8BU
ENSG00000007376	1234	821	1149	2424	1944	1085	924	1587	1600	3240	1292	940	1758	501	1154
ENSG00000007384	1410	2021	986	771	2174	300	2853	1907	1943	2503	1484	168	1046	499	1711
ENSG00000007392	3516	1569	3473	1366	1643	1974	2101	1853	1510	1350	2147	1249	1657	426	1007
ENSG00000007402	97	181	84	54	190	221	42	413	29	10	92	36	115	132	73
ENSG00000007516	69	81	35	28	141	53	357	260	29	23	25	23	38	6	45
ENSG00000007520	3026	2618	3701	7353	5170	3211	2596	3390	2769	3081	4945	2849	10221	1694	1870
ENSG00000007541	2243	2408	2848	3302	2590	1839	1807	2734	3539	2205	2429	1009	2838	758	1701
ENSG00000007545	1222	1443	812	607	1001	840	949	1402	665	1089	178	1049	579	782	1151
ENSG00000007866	4464	7889	8339	5984	11508	12150	835	2766	615	1647	1068	11726	2921	3752	3346
ENSG00000007908	69	25	4	14	68	81	24	29	0	1	0	19	32	3	0
ENSG00000007923	1116	1535	1451	1362	1847	2044	1338	1643	2774	3005	269	810	147	361	2123
ENSG00000007933	29	4322	28	3187	24994	6069	283	96	10	9	21	22522	1399	36	3112
ENSG00000007944	2995	2783	1650	692	7899	4342	3211	1783	145	555	1131	1418	242	729	1795
ENSG00000007952	74	60	33	70	28	69	43	12	24	28	55	162	159	32	15
ENSG00000007968	93	1864	782	1357	565	916	525	592	672	516	264	772	98	478	1201
ENSG00000008018	6598	9238	9650	5873	7383	6374	6323	7097	5949	5610	9994	9473	21967	3921	8491
ENSG00000008056	105	76	131	812	561	320	68	189	11	12	27	63	1081	1063	756
ENSG00000008083	854	949	418	141	1235	906	1100	1598	1019	1196	615	1930	288	129	1063
ENSG00000008086	305	2187	64	219	560	552	1321	679	184	1770	236	912	425	391	793
ENSG00000008118	67	49	3	16	9	318	10	1	5	169	0	540	57	1	9
ENSG00000008128	417	313	564	288	368	331	114	411	399	359	221	178	86	122	288
