TCGA.50.5066	TCGA.55.6712	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.NJ.A7XG	TCGA.55.8615	TCGA.73.A9RS	TCGA.55.7914	TCGA.53.7813	TCGA.53.7624	TCGA.50.6595	TCGA.J2.8194	TCGA.55.7227	TCGA.69.7974	TCGA.93.A4JN	TCGA.95.A4VP
ENSG00000008311	937	251	235	766	104	1173	376	205	763	332	130	131	854	1004	1278	1725	453
ENSG00000008323	1517	1697	101	3054	224	820	1046	739	51	73	1993	333	562	215	420	1011	199
ENSG00000008324	1441	315	248	423	754	696	513	470	525	472	598	444	1015	557	848	738	978
ENSG00000008382	1184	626	747	464	753	1143	866	373	834	177	234	281	785	668	2719	957	1343
ENSG00000008394	48074	15561	3297	19903	4322	11568	6518	11710	5415	4700	8091	4902	46229	13760	19845	5414	9634
ENSG00000008405	3015	628	476	1974	652	547	1836	1174	1105	447	1734	637	1487	487	1380	1694	908
ENSG00000008438	5	0	7	4	1	0	2	3	4	3	6	1	7	4	4	3	7
ENSG00000008441	4740	1131	4701	1953	1235	3931	936	338	9957	764	1554	2813	5370	4448	4116	7388	2390
ENSG00000008513	4398	4398	2751	3107	1796	10716	768	483	8771	12392	1943	2791	5008	11615	15162	6870	3237
ENSG00000008516	388	164	121	248	135	79	63	42	94	25	163	111	477	101	192	184	183
ENSG00000008517	1608	5690	2424	3293	4436	900	4972	316	3896	1083	5364	5709	3431	5125	5611	4053	5800
ENSG00000008710	6203	970	1257	1522	747	4195	2659	1143	1854	419	985	1084	2697	2311	3500	5278	3004
ENSG00000008735	1098	149	62	604	86	129	378	31	37	20	458	77	423	136	1520	786	139
ENSG00000008838	15168	1714	1731	4558	1567	4088	4451	2631	2901	1599	5313	2465	5888	2553	8676	4734	5708
ENSG00000008853	5721	3220	4312	3651	1501	22836	9037	960	13114	1852	1617	894	7575	4698	11893	8819	12650
ENSG00000008869	5722	962	960	1785	582	1590	1366	1423	2115	747	2034	664	3528	1022	3282	1961	1301
ENSG00000008952	16903	4080	4445	10030	13943	6930	5370	4841	11951	5366	9772	7414	8839	9667	9410	9038	3929
ENSG00000008988	97364	24292	17773	38485	40435	59631	46595	9550	44556	34618	24742	18991	54386	37364	39802	20413	62512
ENSG00000009307	71569	23578	13262	31884	13196	17613	12535	10599	29998	7831	27481	18690	46490	24265	35360	19725	11342
ENSG00000009335	12551	3302	1835	6980	1670	3716	3317	2302	5007	1643	3812	3682	6995	3406	8615	4637	2136
ENSG00000009413	3701	819	965	1011	470	1175	533	606	1917	429	1566	787	1673	770	2094	2695	882
ENSG00000009694	250	16	25	54	43	44	2781	2	22	1131	138	8	9656	45	46	59	3098
ENSG00000009709	68	2	0	9	1	2820	3	0	0	110	1	33	2573	0	3	278	502
ENSG00000009724	109	34	26	26	12	74	21	11	36	63	56	8	30	76	28	136	31
ENSG00000009765	809	209	110	733	912	359	271	165	93	282	14	8	1721	121	124	25	680
ENSG00000009780	2267	661	420	489	382	665	381	220	511	426	552	303	845	558	861	1160	390
ENSG00000009790	945	345	225	164	948	106	75	95	616	312	185	135	328	514	792	749	496
ENSG00000009830	3284	1230	335	1120	340	1285	1558	359	1147	667	1365	1787	2131	894	1203	1843	1199
ENSG00000009844	8559	1172	797	3207	1250	767	1230	978	1161	816	4022	2256	2341	1434	2322	1916	1240
ENSG00000009950	971	4	97	177	31	63	131	30	31	12	135	11	30	69	220	126	104
ENSG00000009954	13155	4394	2273	8019	1960	4521	2714	3382	4897	2395	4310	3597	8002	4434	10706	6049	2668
ENSG00000010017	7436	1746	1126	3313	1336	4232	3144	2275	4341	1747	3816	2245	11318	3014	5139	3121	1818
ENSG00000010030	588	495	346	495	301	530	404	118	856	251	2810	771	377	991	764	1441	426
