TCGA.50.5066	TCGA.55.6712	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.NJ.A7XG	TCGA.55.8615	TCGA.73.A9RS	TCGA.55.7914	TCGA.53.7813	TCGA.53.7624	TCGA.50.6595	TCGA.J2.8194	TCGA.55.7227	TCGA.69.7974	TCGA.93.A4JN	TCGA.95.A4VP
ENSG00000225212	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000225213	24	6	2	4	2	9	0	4	1	1	2	5	2	8	10	9	1
ENSG00000225214	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0
ENSG00000225215	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000225216	18	5	9	2	0	0	1	0	4	1	0	1	2	10	11	5	0
ENSG00000225217	1331	106	170	71	101	210	135	1788	360	105	204	61	134	132	1140	1247	235
ENSG00000225218	22	1	1	7	1	24	5	2	9	11	8	0	3	1	58	19	6
ENSG00000225221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225222	0	0	0	0	0	1	0	0	0	2	0	1	3	0	0	0	0
ENSG00000225224	28	3	2	10	1	6	4	3	10	2	4	1	13	13	4	1	8
ENSG00000225225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225230	4	1	0	2	3	4	0	3	0	0	1	1	2	0	2	2	1
ENSG00000225231	4	0	1	0	0	1	2	4	0	0	0	0	0	0	2	3	0
ENSG00000225233	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000225234	72	11	9	74	14	36	35	118	71	12	22	11	90	45	53	67	19
ENSG00000225235	2	2	1	1	0	1	1	1	0	0	2	0	1	1	0	0	0
ENSG00000225236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225239	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000225240	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
ENSG00000225242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225243	5	0	1	1	1	0	1	0	2	0	0	2	3	0	10	8	0
ENSG00000225244	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000225246	4	1	0	1	0	2	1	1	6	0	0	2	1	7	5	1	1
ENSG00000225249	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225251	10	1	1	2	0	0	2	0	0	0	1	2	2	5	2	0	1
ENSG00000225253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225254	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0
ENSG00000225255	3	1	0	19	2	1	0	2	0	0	5	0	0	0	0	0	0
ENSG00000225256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225259	37	17	19	26	4	7	6	2	22	1	9	7	177	19	9	4	4
ENSG00000225263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225264	21	9	4	11	2	9	2	7	1	3	23	6	18	6	40	18	0
ENSG00000225265	239	34	10	127	38	50	81	32	27	16	67	46	85	29	36	145	36
ENSG00000225267	15	2	4	7	0	3	2	0	1	0	2	6	11	10	3	1	1
ENSG00000225269	2	2	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000225270	1	1	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0
ENSG00000225271	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000225272	4	0	1	1	1	1	0	0	4	0	2	0	0	1	0	0	0
ENSG00000225275	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000225276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225279	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2
ENSG00000225280	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ENSG00000225282	0	1	2	2	0	20	1	0	0	0	0	2	17	5	13	8	13
ENSG00000225284	6	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0
ENSG00000225285	218	133	42	252	33	316	274	36	37	17	144	13	163	110	124	153	244
ENSG00000225286	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225289	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000225292	0	2	1	0	0	1	1	1	2	0	1	0	2	0	1	4	0
ENSG00000225293	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000225294	12	2	0	2	1	4	2	1	2	1	0	0	10	1	3	8	1
ENSG00000225295	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000225297	3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
ENSG00000225298	14	0	0	2	8	1	0	0	1	0	2	2	0	0	1	2	0
ENSG00000225299	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ENSG00000225300	10	0	2	0	1	1	13	5	3	0	2	0	1	0	3	4	8
ENSG00000225303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225308	3	0	0	27	0	6	0	0	2	0	0	2	49	5	0	2	0
ENSG00000225310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225311	4	0	0	0	0	0	1	0	0	0	2	1	0	0	0	2	0
ENSG00000225313	660	102	40	55	23	370	137	41	130	120	58	49	249	245	221	510	151
ENSG00000225314	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
ENSG00000225315	12	1	4	6	3	20	3	0	0	4	2	0	30	1	15	2	5
ENSG00000225316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000225325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225328	2	1	0	1	3	26	0	0	8	4	0	0	1	2	1	3	3
ENSG00000225329	1	9	438	126	107	613	24	5	1699	246	0	1	26	83	129	122	304
ENSG00000225330	0	0	0	1	0	1	2	0	0	0	2	0	0	0	0	0	0
ENSG00000225331	16	1	6	2	4	7	0	2	4	0	5	0	9	2	18	3	10
ENSG00000225333	1	0	0	0	0	1	0	0	0	0	0	2	2	0	0	2	0
ENSG00000225334	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0
ENSG00000225335	50	14	6	73	21	32	20	28	16	8	15	17	25	24	76	73	16
ENSG00000225336	2	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	2
ENSG00000225337	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000225338	25	3	3	9	1	8	5	2	7	5	3	9	30	25	14	7	2
ENSG00000225339	46	17	2	4	5	3	10	4	5	6	4	18	52	9	18	17	0
ENSG00000225341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225342	50	7	918	272	32	1231	2	16	156	24	6	3	320	100	308	174	210
ENSG00000225343	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000225344	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1
ENSG00000225345	74	2	4	38	4	24	44	11	2	3	22	28	27	28	87	13	41
ENSG00000225347	10	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0
ENSG00000225349	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225350	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
ENSG00000225352	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225354	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000225355	5	1	1	0	0	0	1	0	0	0	0	0	4	2	1	0	0
ENSG00000225356	16	1	1	28	1	4	9	0	11	0	1	2	34	8	6	3	8
ENSG00000225357	3	3	1	0	1	2	0	1	6	0	1	3	5	1	0	0	1
ENSG00000225358	1	0	0	0	0	2	0	0	1	2	0	0	4	1	0	0	0
ENSG00000225359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225361	433	21	23	43	21	202	150	51	51	104	218	72	54	78	127	339	95
ENSG00000225362	5	3	2	13	1	9	0	2	1	1	49	5	0	7	6	9	1
ENSG00000225364	2	0	1	1	0	2	0	0	0	2	0	0	0	0	0	1	0
ENSG00000225365	0	0	1	0	0	0	0	0	5	0	2	9	1	0	9	6	2
ENSG00000225366	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	1
ENSG00000225369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225370	11	1	1	1	5	2	2	2	4	5	2	4	4	1	8	6	5
ENSG00000225371	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
ENSG00000225376	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2
ENSG00000225377	538	46	69	113	70	182	170	148	113	123	129	57	221	70	112	204	137
ENSG00000225378	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
ENSG00000225380	4	3	0	2	29	0	0	2	21	1	2	1	2	2	7	17	0
ENSG00000225381	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000225383	420	106	1120	428	1010	5892	31	11	251	1588	23	234	1258	407	1052	294	736
ENSG00000225384	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225385	8	0	0	2	0	10	0	4	4	8	1	0	4	4	6	14	16
ENSG00000225386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225387	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225391	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225392	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000225393	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225398	21	1	10	1	1	20	0	0	64	1	0	2	1	43	3	7	2
ENSG00000225399	15	1	1	5	2	2	1	2	4	2	1	3	4	7	6	5	2
ENSG00000225400	13	5	6	5	3	32	0	3	4	2	2	2	8	11	15	14	9
ENSG00000225401	9	1	2	0	1	6	3	1	2	0	1	0	1	2	1	3	0
ENSG00000225402	6	2	1	3	0	2	0	0	0	0	1	6	6	1	1	1	0
ENSG00000225404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000225405	8	6	2	4	1	2	10	1	1	0	2	3	17	7	4	3	7
ENSG00000225406	1	1	1	2	0	3	2	0	1	0	4	0	2	1	1	0	10
ENSG00000225407	3	0	2	1	1	1	0	0	0	2	5	0	0	0	4	1	2
ENSG00000225408	9	2	3	2	0	1	0	1	3	3	2	1	1	0	3	4	3
ENSG00000225411	16	1	3	2	0	2	1	1	2	4	11	0	2	15	6	5	1
ENSG00000225413	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000225415	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0
ENSG00000225416	6	0	1	0	3	1	5	0	3	0	2	2	12	13	2	2	7
ENSG00000225417	8	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0
ENSG00000225418	7	0	0	1	0	0	0	0	21	0	0	0	4	1	0	0	0
ENSG00000225419	9	3	5	4	1	8	5	3	4	3	1	2	14	9	1	13	5
ENSG00000225420	3	0	1	1	0	1	2	3	1	4	7	1	4	3	2	3	18
ENSG00000225421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225422	103	28	27	36	8	54	13	27	13	17	55	15	83	25	68	33	10
ENSG00000225423	9	2	4	1	1	4	7	1	5	11	3	1	0	1	3	2	9
ENSG00000225424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225427	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225431	109	3	125	505	37	101	85	4	5731	18	406	6	37	60	125	61	57
ENSG00000225433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225434	22	22	40	22	60	21	43	13	9	33	38	16	24	29	240	48	82
ENSG00000225437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225438	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1
ENSG00000225439	258	23	45	105	34	44	283	43	74	220	210	50	189	35	105	76	42
ENSG00000225442	15	0	1	0	0	4	1	1	1	1	5	0	3	0	14	5	5
ENSG00000225443	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	1
ENSG00000225444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225446	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225447	56	1	6	13	1	5	3	1	17	7	8	3	7	14	11	24	8
ENSG00000225448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225449	4	2	2	29	0	1	4	0	2	0	299	2	1	1	6	5	4
ENSG00000225450	12	4	3	1	4	18	4	3	5	5	4	2	0	8	10	14	10
ENSG00000225451	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225455	2	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000225457	0	0	0	9	0	1	0	0	1	0	0	0	0	1	0	0	0
ENSG00000225458	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225460	12	3	0	0	1	1	0	1	1	0	2	1	2	2	2	2	5
ENSG00000225462	7	0	0	2	0	0	0	0	0	0	6	0	2	1	1	0	0
ENSG00000225463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225465	105	5	11	92	5	0	5	0	4	0	102	3	312	4	319	7	13
ENSG00000225466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225470	1696	382	345	806	451	1129	657	358	998	737	905	540	1687	501	1992	705	1043
ENSG00000225471	72	9	26	23	10	4	11	3	14	5	6	34	44	41	28	12	14
ENSG00000225472	11	2	1	2	5	3	8	0	1	9	1	2	0	6	6	23	12
ENSG00000225473	2	3	60	28	0	8	1	3	35	10	0	0	3	17	109	102	227
ENSG00000225475	3	1	0	0	0	0	2	0	0	0	1	1	3	0	0	0	0
ENSG00000225476	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225478	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0
ENSG00000225479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225480	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0
ENSG00000225482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225483	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0
ENSG00000225484	1404	277	178	522	204	735	897	289	629	329	769	223	994	583	395	582	866
ENSG00000225486	4	0	2	3	0	0	0	1	0	0	1	0	5	2	2	0	0
ENSG00000225487	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000225488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225489	234	23	3	448	14	4	376	91	28	93	285	3	207	108	186	51	22
ENSG00000225491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225492	379	500	235	74	138	56	11	44	201	83	662	517	130	289	271	421	134
ENSG00000225493	1	0	2	2	0	0	0	1	1	0	0	1	4	1	4	6	135
ENSG00000225496	5	0	1	0	0	0	0	0	1	2	4	5	2	3	2	0	0
ENSG00000225497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225498	7	1	2	1	6	2	0	0	2	2	0	1	2	0	0	5	1
ENSG00000225499	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
ENSG00000225501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225502	2	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0
ENSG00000225505	4	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0
ENSG00000225506	37	3	2	7	0	8	14	1	28	2	12	0	10	5	21	23	14
ENSG00000225507	310	48	67	104	32	128	175	49	105	69	134	62	151	105	140	181	58
ENSG00000225508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225509	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000225510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225511	88	2	3	12	12	77	11	2	11	7	6	11	16	10	24	142	6
ENSG00000225513	7	0	0	4	0	1	1	0	0	0	2	1	1	0	2	3	1
ENSG00000225514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225518	74	17	4	48	8	43	45	24	28	20	41	7	60	7	27	11	20
ENSG00000225519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000225521	5	1	2	4	0	10	36	28	2	5	3	0	15	4	1	9	31
ENSG00000225522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225523	2	71	5	10	426	2	9	2	7	32	6	3	4	2	54	42	10
ENSG00000225526	131	21	17	159	48	131	47	54	13	12	157	20	40	89	356	83	32
ENSG00000225527	5	2	3	6	0	7	9	16	5	8	4	1	4	3	3	3	5
ENSG00000225528	14	2	3	6	5	3	0	1	10	3	6	1	7	13	11	5	22
ENSG00000225530	20	0	1	4	1	2	141	1	0	3	1	10	0	2	0	1	15
ENSG00000225531	1	2	8	0	6	0	0	0	8	5	4	4	10	11	6	3	15
ENSG00000225532	2	0	0	5	1	1	13	0	2	4	12	0	0	0	0	0	0
ENSG00000225533	0	0	0	0	0	0	1	0	0	0	3	2	0	0	0	3	0
ENSG00000225535	4	6	0	29	14	3	23	6	8	5	3	4	57	7	7	4	40
ENSG00000225536	18	3	2	2	2	0	2	1	5	0	1	2	12	3	2	1	2
ENSG00000225537	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000225538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225542	5	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000225544	4	0	3	1	1	1	1	0	22	0	0	0	6	1	2	4	0
ENSG00000225545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225546	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225548	1	1	1	128	5	0	431	0	0	1	101	0	358	0	0	0	1
ENSG00000225549	4	0	1	0	0	0	0	0	1	1	0	0	0	2	3	4	0
ENSG00000225551	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSG00000225552	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225554	1	0	1	16	31	28	9	0	1	14	2	12	1	0	0	0	9
ENSG00000225555	4	2	0	4	1	5	3	3	11	0	0	1	3	0	2	3	0
ENSG00000225556	120	16	12	282	12	66	427	318	97	37	129	11	121	20	116	91	228
ENSG00000225557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225558	26	7	3	3	3	0	7	2	8	4	9	7	11	6	10	4	4
ENSG00000225559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225561	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225564	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000225568	2	0	0	4	0	1	0	0	0	0	1	4	3	0	1	0	0
ENSG00000225569	1	1	0	0	0	0	0	0	6	1	0	0	0	1	0	0	2
ENSG00000225570	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225572	9	0	2	1	0	0	0	0	1	1	1	0	1	0	4	1	0
ENSG00000225573	83	14	23	14	51	36	18	1	31	3	25	46	168	49	895	17	56
ENSG00000225574	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
ENSG00000225578	61	0	2	4	0	31	11	19	9	7	14	0	4	14	12	18	4
ENSG00000225579	1	1	0	0	0	0	1	1	0	2	1	0	0	0	3	4	1
ENSG00000225580	6	3	3	14	1	4	0	2	2	1	12	7	50	6	1	1	2
ENSG00000225581	1	0	0	2	0	2	0	0	0	0	0	0	1	0	1	0	3
ENSG00000225582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225585	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000225588	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	5
ENSG00000225591	10	1	0	6	5	2	9	1	8	2	2	3	25	12	1	0	2
ENSG00000225594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225595	1	4	0	4	1	1	1	2	1	0	45	0	0	1	15	2	1
ENSG00000225598	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225602	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0
ENSG00000225603	6	3	3	1	1	0	1	3	1	1	13	3	0	5	2	2	5
ENSG00000225605	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225606	41	2	0	4	0	10	20	1	1	1	21	4	2	4	2	5	78
ENSG00000225609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225610	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225611	6	2	5	5	2	2	4	2	2	1	3	3	4	8	166	6	14
ENSG00000225612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000225613	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0
ENSG00000225614	430	189	128	451	303	80	288	186	484	67	119	891	815	232	647	520	364
ENSG00000225615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225616	12	1	3	12	2	11	5	1	6	2	1	7	21	11	4	6	10
ENSG00000225619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225620	2	0	0	0	0	1	0	1	0	0	2	0	0	1	3	1	0
ENSG00000225622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225623	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0
ENSG00000225624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225625	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ENSG00000225626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000225630	6442	2808	3784	6736	14	1937	10138	6488	3955	14376	2439	1899	2048	7786	28068	3198	24441
ENSG00000225632	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0
ENSG00000225636	3	0	2	2	0	2	0	0	1	0	0	0	0	1	0	2	0
ENSG00000225637	17	2	0	1	4	0	0	0	3	0	1	3	13	0	2	8	5
ENSG00000225638	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000225639	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1
ENSG00000225640	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0
ENSG00000225642	2	0	1	1	0	4	1	0	2	1	2	1	5	1	3	1	3
ENSG00000225643	5	8	3	9	3	6	3	9	3	1	4	1	10	9	5	11	3
ENSG00000225644	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1
ENSG00000225647	3	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	3
ENSG00000225648	1232	454	325	761	420	710	261	379	709	199	443	1009	636	475	870	485	344
ENSG00000225649	41	0	1	2	2	3	1	0	2	0	1	4	7	3	8	7	7
ENSG00000225650	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	0
ENSG00000225652	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	1	13
ENSG00000225653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225655	2	0	0	0	2	8	0	0	0	2	0	13	0	3	0	0	0
ENSG00000225656	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225657	0	0	0	0	0	0	0	0	0	0	38	0	1	0	0	0	0
ENSG00000225658	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000225660	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000225661	1	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0
ENSG00000225662	5	1	0	1	0	0	0	0	0	0	0	1	3	5	0	0	0
ENSG00000225663	5121	1335	1351	2489	2686	3729	2402	537	1468	522	3484	1849	2585	1890	5328	2865	5039
ENSG00000225664	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225665	2	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0
ENSG00000225669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225670	115	4	20	9	43	9	1	3	9	5	2	2	26	17	15	71	77
ENSG00000225671	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
ENSG00000225672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225673	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000225674	23	2	4	6	1	3	3	0	5	1	4	4	55	5	3	1	0
ENSG00000225675	12	2	0	7	7	1	0	3	5	0	13	1	0	2	1	7	0
ENSG00000225676	0	0	0	3	1	0	78	0	0	14	0	0	0	3	0	0	42
ENSG00000225678	8	0	0	10	0	0	0	3	0	2	14	1	11	1	0	0	0
ENSG00000225680	1	0	0	6	1	1	10	4	9	3	0	1	9	2	7	5	36
ENSG00000225681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225683	5	0	7	0	0	1	6	0	1	0	14	0	0	0	3	2	2
ENSG00000225684	19	37	4	23	17	39	14	4	25	18	5	37	26	48	40	20	9
ENSG00000225685	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
