TCGA.D7.6520	TCGA.HU.A4GX	TCGA.BR.8371	TCGA.D7.A747	TCGA.CG.5732	TCGA.CG.5724	TCGA.CD.8524	TCGA.CG.4477	TCGA.VQ.A91V	TCGA.CD.8527	TCGA.CG.5717
ENSG00000007402	107	157	496	190	568	47	94	86	278	92	90
ENSG00000007516	145	279	120	43	282	278	119	125	447	236	199
ENSG00000007520	3010	2469	2436	722	1518	3251	2963	868	1916	1292	1881
ENSG00000007541	6226	4659	2626	1157	1559	2697	3815	1804	3646	3838	2387
ENSG00000007545	446	1234	1163	469	492	401	1156	699	1319	593	793
ENSG00000007866	9581	2811	11970	3841	2737	3641	6301	2809	4997	5883	4237
ENSG00000007908	175	214	35	44	35	56	217	580	174	81	342
ENSG00000007923	2226	2626	1331	484	2759	1339	2817	2208	2425	622	2074
ENSG00000007933	116	651	253	199	292	31	345	375	162	32	195
ENSG00000007944	2882	2047	4951	1469	1370	998	3331	1820	2222	1808	1409
ENSG00000007952	12	107	31	239	274	30	58	60	43	43	25
ENSG00000007968	485	840	89	87	467	372	535	965	936	333	821
ENSG00000008018	4256	12180	6510	3133	6459	8560	11322	10557	12891	7277	3985
ENSG00000008056	153	87	364	123	86	650	330	72	84	128	55
ENSG00000008083	537	1721	1934	548	1246	1528	4485	1823	2527	1564	3312
ENSG00000008086	1541	561	979	534	944	420	1312	1297	1479	558	1731
ENSG00000008118	54	12	21	31	27	69	42	45	20	12	10
ENSG00000008128	287	658	228	264	361	213	1025	299	460	573	269
ENSG00000008130	7053	5630	2555	1201	5724	2928	7758	2044	10028	1918	3726
ENSG00000008196	1	0	4	18	0	3	5	35	0	5	664
ENSG00000008197	0	0	1	7	0	4	1	20	1	3	0
ENSG00000008226	122	31	136	49	29	47	81	110	42	27	26
ENSG00000008256	3524	1939	4611	1731	2011	1598	7651	1380	663	1192	1625
ENSG00000008277	881	357	386	250	115	111	849	201	296	324	178
ENSG00000008282	11822	15415	7349	3763	5945	11322	5648	8161	13520	3240	11379
ENSG00000008283	13954	9591	1575	599	7979	11359	9581	3982	16070	5229	5611
ENSG00000008294	4345	3998	5714	2686	2999	3970	4376	7234	6972	3800	4380
ENSG00000008300	1181	280	423	236	472	323	2279	406	552	866	485
ENSG00000008311	99	163	875	172	117	57	534	465	222	93	538
ENSG00000008323	17628	9181	368	808	1746	4473	1261	2096	1555	1359	4615
ENSG00000008324	594	1789	616	284	925	847	1241	1053	839	722	684
ENSG00000008382	1031	1395	812	297	744	873	1157	476	477	856	881
ENSG00000008394	9057	15420	1169	1213	1421	12413	15523	2829	7958	2518	5602
ENSG00000008405	1324	3362	972	743	1343	1209	1932	1440	1803	773	1218
ENSG00000008438	0	10	10	0	8	18	11	21	9	6	8
ENSG00000008441	8925	7810	33544	7436	6684	4867	9351	5452	4809	3895	16269
ENSG00000008513	1076	2107	5434	986	5364	2391	3588	3591	2053	2908	4947
ENSG00000008516	145	435	135	53	328	97	130	379	141	123	275
ENSG00000008517	12022	29475	2732	3234	6636	7148	10306	10835	6640	22987	1607
ENSG00000008710	5119	3518	26784	7631	2429	2534	5918	2007	5165	3156	4038
ENSG00000008735	6108	750	298	48	435	207	715	125	729	2259	706
ENSG00000008838	5751	5912	3743	1360	7705	10627	5115	5075	9218	3275	4918
ENSG00000008853	2413	1462	2685	898	1270	1028	4048	625	2808	870	951
ENSG00000008869	1857	3224	1701	849	1876	932	2080	2464	2192	1151	2466
ENSG00000008952	9335	22854	25337	5498	6520	6185	32373	8004	19319	23497	6759
ENSG00000008988	21634	72817	74475	28845	46043	54662	45718	30858	35538	81655	29558
