TCGA.50.5066	TCGA.55.6712	TCGA.50.5068	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.55.8615	TCGA.73.A9RS	TCGA.50.5936	TCGA.53.7813	TCGA.95.A4VP
ENSG00000009694	250	16	48	25	54	43	2781	2	75	1131	3098
ENSG00000009709	68	2	14	0	9	1	3	0	0	110	502
ENSG00000009724	109	34	5	26	26	12	21	11	66	63	31
ENSG00000009765	809	209	9	110	733	912	271	165	263	282	680
ENSG00000009780	2267	661	870	420	489	382	381	220	695	426	390
ENSG00000009790	945	345	642	225	164	948	75	95	227	312	496
ENSG00000009830	3284	1230	221	335	1120	340	1558	359	556	667	1199
ENSG00000009844	8559	1172	1251	797	3207	1250	1230	978	1248	816	1240
ENSG00000009950	971	4	23	97	177	31	131	30	161	12	104
ENSG00000009954	13155	4394	1081	2273	8019	1960	2714	3382	3694	2395	2668
ENSG00000010017	7436	1746	1091	1126	3313	1336	3144	2275	1892	1747	1818
ENSG00000010030	588	495	574	346	495	301	404	118	205	251	426
ENSG00000010072	2192	281	525	258	650	355	627	561	315	543	475
ENSG00000010165	6498	885	884	752	2898	773	2041	1210	1202	704	1281
ENSG00000010219	537	395	801	350	791	654	916	231	571	537	1272
ENSG00000010244	17968	4079	4111	2803	8196	3852	4211	3493	3593	4976	4661
ENSG00000010256	12785	3694	4398	2552	8819	4134	6298	3469	3204	1808	7454
ENSG00000010270	4922	1004	3223	1052	1907	2274	2010	752	1680	803	888
ENSG00000010278	32789	18980	14233	12711	27982	11687	21851	5546	14188	7432	8432
ENSG00000010282	10	0	1	1	2	18	2	0	2	0	6
ENSG00000010292	12880	4926	562	945	17051	1864	3942	2831	1771	1765	3694
ENSG00000010295	1189	211	198	426	276	374	228	150	516	164	992
ENSG00000010310	466	31	130	72	62	70	573	675	42	92	336
ENSG00000010318	479	96	56	78	168	98	128	95	139	84	143
ENSG00000010319	854	147	37	463	329	399	301	161	2630	73	523
ENSG00000010322	11969	1990	610	2449	2239	1471	4061	1564	3969	1124	5732
ENSG00000010327	13940	1273	3083	1321	1657	1708	2172	821	2124	285	6608
ENSG00000010361	2102	349	475	322	377	460	539	759	417	317	962
ENSG00000010379	18	6	3	29	4	7	1	2	81	3	33
