TCGA.NH.A50U	TCGA.A6.A565	TCGA.AA.A02K	TCGA.AZ.6606	TCGA.NH.A8F8	TCGA.AZ.4682	TCGA.AA.3973	TCGA.AZ.6600	TCGA.NH.A6GB	TCGA.AA.3844	TCGA.AA.3972	TCGA.AA.3692
ENSG00000007944	3228	1408	1737	1638	1222	1706	719	1024	495	903	633	1207
ENSG00000007952	9368	2944	11791	8764	2770	9180	19880	6108	427	11974	2785	14198
ENSG00000007968	1364	970	1855	1395	171	512	48	1216	581	445	250	305
ENSG00000008018	15588	8160	9892	6796	7863	15400	3442	4739	6005	5440	4527	6089
ENSG00000008056	139	76	163	35	76	177	339	113	54	13	43	84
ENSG00000008083	1662	1680	1511	1709	1300	1058	514	1287	975	542	306	571
ENSG00000008086	781	589	161	328	283	332	228	404	119	103	104	183
ENSG00000008118	19	25	6	20	10	8	5	17	9	15	1	12
ENSG00000008128	1250	1096	633	443	517	482	111	539	306	142	206	221
ENSG00000008130	6436	6148	7004	4793	2610	5791	814	4046	3950	1355	2269	2423
ENSG00000008196	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	111	285	83	45	27	38	126	98	23	23	39	35
ENSG00000008256	1616	1283	1433	1137	913	1058	718	1017	1122	342	383	624
ENSG00000008277	73	333	22	252	144	65	82	428	183	26	49	111
ENSG00000008282	9163	8875	9225	7366	4611	15446	3083	5151	6300	4415	4609	5750
ENSG00000008283	5538	5244	8431	6217	4531	4494	2008	4060	5685	2230	1971	2807
ENSG00000008294	4205	5573	3217	2791	3535	2862	1843	3337	5785	1561	1803	1609
ENSG00000008300	1821	525	1522	1366	520	180	113	150	1985	546	361	431
ENSG00000008311	201	281	38	68	157	102	106	219	114	31	90	34
ENSG00000008323	4790	5173	3742	2344	2044	4318	1076	3289	1483	1823	948	2372
ENSG00000008324	1298	874	1195	741	759	2258	365	488	663	307	438	679
ENSG00000008382	1372	1522	1403	1328	1103	1631	435	2077	714	297	369	675
ENSG00000008394	5293	4835	3428	8467	4268	11214	1062	9892	5902	5136	3599	5316
ENSG00000008405	770	1701	1014	1010	800	1234	383	1099	1024	543	493	664
