TCGA.FS.A1ZE	TCGA.W3.AA1O	TCGA.EE.A185	TCGA.GN.A8LK	TCGA.EE.A2MD	TCGA.EE.A2MQ	TCGA.HR.A2OH	TCGA.EB.A5FP	TCGA.EE.A3JI	TCGA.FS.A4F0	TCGA.EE.A29Q	TCGA.EE.A29V	TCGA.EE.A2ML	TCGA.ER.A19H
ENSG00000005302	1950	730	861	688	1917	1459	2026	1950	2864	2504	3404	1231	1186	1558
ENSG00000005339	8008	5214	6297	3951	11674	7310	6427	6484	8193	11899	12709	9152	8387	14351
ENSG00000005379	282	22	1	4	89	16	477	42	15	8	159	57	186	1268
ENSG00000005381	2	11	0	0	2	4	80	5	12	0	7	31	2	16
ENSG00000005421	1	2	1	0	0	1	0	2	1	1	4	3	0	7
ENSG00000005436	1760	1882	449	620	2513	1669	800	1125	3544	2037	4291	401	1173	2814
ENSG00000005448	1163	845	1057	1997	427	719	1209	1559	579	418	3776	752	1170	1216
ENSG00000005469	495	2662	653	692	1048	460	744	1282	723	944	3693	685	507	1462
ENSG00000005471	558	15	21	219	119	228	60	730	26	21	2089	1217	1538	66
ENSG00000005483	7630	8447	1605	2442	4815	9947	6286	3884	12505	10695	11198	3255	5249	10698
ENSG00000005486	5027	11470	4146	8228	5045	8879	7968	9376	4436	4850	11493	9733	3440	7862
ENSG00000005513	1163	82	502	293	332	185	6938	385	1744	146	86	2349	160	1960
ENSG00000005700	4524	4041	1003	1134	6425	3749	4390	4737	5663	4290	4996	1096	5022	5484
ENSG00000005801	1234	732	220	484	1157	726	513	1292	1022	1829	1185	200	504	1386
ENSG00000005810	12044	3034	4097	2151	6547	6157	5347	4864	15504	7939	10581	6211	8810	7002
ENSG00000005812	4380	1834	688	473	2399	2010	2008	2803	5902	4456	2559	907	3089	2125
ENSG00000005844	171	180	23	56	1590	574	14683	60	889	118	403	138	2611	3086
ENSG00000005882	1073	2228	2295	2947	4543	1158	1182	2449	3587	3580	2502	9994	1322	1593
ENSG00000005884	22965	40596	62429	9638	22165	9255	2337	32732	62022	45802	53543	39171	181873	2454
ENSG00000005889	2389	1289	767	590	2548	3274	2181	3529	5126	2743	4204	991	2076	3981
ENSG00000005893	34848	16898	14835	12622	31107	40623	21574	48850	34222	21796	41760	14681	33746	15894
ENSG00000005961	16	40	9	28	55	10	18	31	21	101	159	23	20	5
ENSG00000005981	1	2	6	4056	126	5	5	186	54	17	42	120	91	2521
ENSG00000006007	4840	3346	3956	2710	4048	5538	5786	5071	4511	5025	11235	5564	5376	5454
ENSG00000006015	1079	1675	1243	3835	616	1082	1429	552	2264	1610	4272	1691	1145	2221
ENSG00000006016	302	21	40	110	83	52	34	68	613	179	126	105	40	113
ENSG00000006025	1200	432	464	558	623	475	921	976	1745	2346	1240	2315	665	788
ENSG00000006042	2137	15522	4761	5009	10763	7627	4372	9705	3972	47	12606	5287	7185	13773
ENSG00000006047	86	43	6	123	17	9	70	24	4	8	183	22	6	6
ENSG00000006059	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000006062	1818	823	455	1306	2780	474	2235	595	3087	2289	2174	1081	1727	1743
ENSG00000006071	10	0	1	0	0	0	3	2	0	1	0	2	1	0
ENSG00000006116	0	0	0	0	0	0	6	0	0	0	0	1	0	0
ENSG00000006118	3932	1848	2083	479	578	412	366	1104	1551	6773	1791	6925	5742	2302
ENSG00000006125	24806	24121	17412	12986	41042	10685	17535	14745	27745	18618	43686	14241	22487	21783
ENSG00000006128	2	0	0	1	0	2	0	1	0	0	0	0	0	3
ENSG00000006194	2129	1461	2006	1811	3111	1613	1570	2084	1985	3890	3485	2662	2118	2174
ENSG00000006210	5171	1116	431	1255	2135	3536	4406	5010	1076	2594	4670	2847	1066	3010
ENSG00000006282	2228	2550	9200	4235	4373	2144	2628	8306	6660	7712	14428	20593	2460	5625
ENSG00000006283	19	8	21	3	6	32	1	16	4	6	5	37	4	5
ENSG00000006327	964	4121	2141	2226	593	2797	796	2642	1338	1257	3109	3746	6699	431
ENSG00000006377	398	0	9	14	35	4	9	6	1849	0	2	2	2	83
ENSG00000006432	138	11	762	890	920	383	385	955	879	5	1901	567	548	398
ENSG00000006451	2067	6904	1325	2830	4320	5483	3428	5452	4698	4789	9460	2664	4033	5841
ENSG00000006453	228	13611	1494	4894	3430	3297	177	7018	2541	437	3525	1560	1468	153
ENSG00000006459	2829	1632	234	599	1772	1710	2514	943	2149	1233	1017	319	2209	2263
ENSG00000006468	8591	6395	751	1394	3153	2244	6875	6280	74	3321	19717	806	3120	23065
ENSG00000006530	1617	6374	1098	1639	2402	2668	2770	3318	2191	2977	6395	2893	2867	3935
ENSG00000006534	1243	1440	1533	995	980	829	2341	1140	845	1711	2216	6868	2398	1181
ENSG00000006555	16	5	25	1	22	12	183	230	8	1	4	149	26	28
