TCGA.G2.A2EK	TCGA.BT.A20N	TCGA.FD.A3SJ	TCGA.G2.AA3C	TCGA.DK.A1A7	TCGA.UY.A78L	TCGA.FD.A3SO	TCGA.XF.A9SV	TCGA.DK.A3WX	TCGA.G2.A3IE	TCGA.GV.A40E	TCGA.G2.A2EJ	TCGA.DK.AA6S	TCGA.DK.A3IV	TCGA.FD.A3SQ	TCGA.ZF.AA5H	TCGA.G2.A3IB	TCGA.DK.AA6P	TCGA.XF.A9SU	TCGA.FJ.A871
ENSG00000200331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200332	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000200334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000200338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200344	9	2	6	2	4	3	4	1	3	3	4	1	0	10	6	5	4	7	1	2
ENSG00000200345	3	2	0	0	0	0	1	0	0	1	1	0	0	2	1	2	0	1	0	0
ENSG00000200350	0	0	1	0	0	0	0	1	1	1	0	2	0	1	0	0	0	0	0	0
ENSG00000200351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000200354	2	1	1	0	0	0	2	0	0	0	2	1	0	1	0	1	1	1	0	1
ENSG00000200355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200356	4	0	2	1	0	0	0	1	1	1	0	1	0	1	8	0	1	0	0	3
ENSG00000200360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200366	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000200367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000200370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200372	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000200376	1	4	1	0	0	0	3	0	4	5	2	0	2	2	0	0	0	2	0	0
ENSG00000200377	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000200378	2	1	1	3	3	1	2	0	0	0	1	0	0	0	1	0	0	1	2	0
ENSG00000200379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200385	5	4	8	0	2	0	0	2	0	9	0	0	1	10	1	0	1	1	1	0
ENSG00000200388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200389	2	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	2	0	0	0
ENSG00000200390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200391	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200393	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
ENSG00000200394	4	3	2	0	1	1	2	1	0	0	3	2	1	1	0	0	1	3	0	2
ENSG00000200397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000200398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200403	1	0	13	1	12	5	1	2	9	3	4	4	6	7	2	7	2	1	1	2
ENSG00000200406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200407	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200408	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200419	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000200421	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000200422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200428	3	27	4	1	4	0	0	1	1	0	0	3	2	0	1	3	3	2	1	1
ENSG00000200431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200434	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000200436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200437	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200472	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
ENSG00000200473	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1
ENSG00000200475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200483	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000200484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200488	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0
ENSG00000200492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000200495	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0
ENSG00000200496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000200502	6	4	5	4	16	8	11	0	5	0	8	21	4	10	1	5	3	1	5	0
ENSG00000200503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200506	1	0	0	0	0	0	2	1	2	0	4	3	0	2	1	6	4	0	0	0
ENSG00000200508	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000200520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200525	7	0	3	0	1	1	0	2	2	0	0	2	1	2	4	0	3	0	0	0
ENSG00000200526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200527	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000200530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200534	28	25	63	75	126	40	44	34	32	41	87	69	50	57	17	40	42	68	73	65
ENSG00000200536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200537	2	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1
ENSG00000200538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200544	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000200545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200547	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200550	5	1	4	0	3	0	1	2	1	3	5	0	4	1	10	3	5	0	2	4
ENSG00000200552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200556	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000200558	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
ENSG00000200560	0	0	3	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0
ENSG00000200563	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000200564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200570	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200571	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200579	19	4	14	0	13	4	1	1	10	21	4	0	0	6	4	4	4	17	2	4
ENSG00000200587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000200591	3	0	0	0	0	0	2	0	0	3	0	1	0	4	3	1	0	0	0	0
ENSG00000200593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200594	1	0	0	1	3	1	1	0	1	2	2	4	0	2	2	0	4	0	0	1
ENSG00000200597	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000200600	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000200610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200615	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000200616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200619	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000200620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000200622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200629	2	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	2	0	0
ENSG00000200630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200648	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200651	17	2	4	0	9	1	1	0	17	19	2	7	0	7	6	1	10	0	3	2
ENSG00000200652	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200665	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000200670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200674	5	0	8	2	7	1	4	1	7	7	6	1	2	1	0	2	1	2	1	0
ENSG00000200677	1	2	2	0	0	0	0	1	0	0	0	1	0	7	1	0	0	0	0	0
ENSG00000200680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000200683	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
ENSG00000200685	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000200686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200688	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000200693	7	7	14	11	11	9	10	3	3	18	5	9	5	12	4	16	5	8	12	12
ENSG00000200701	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0
ENSG00000200702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000200706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000200708	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000200709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200711	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0
ENSG00000200713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200714	22	8	14	2	14	0	3	14	14	11	13	7	11	21	13	10	2	3	6	14
ENSG00000200718	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000200719	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	1	1	1	0
ENSG00000200720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200731	0	1	0	0	0	0	0	0	3	1	0	1	0	0	1	2	0	0	0	0
ENSG00000200732	1	0	2	0	1	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0
ENSG00000200733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200737	3	5	2	0	1	2	1	0	1	15	7	3	9	7	13	1	1	3	0	0
ENSG00000200738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000200742	13	0	0	1	1	0	2	0	0	2	0	0	0	1	2	1	2	1	0	1
ENSG00000200745	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200750	0	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0	0	0	0	1
ENSG00000200752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200753	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
ENSG00000200754	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ENSG00000200755	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000200756	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
ENSG00000200757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200759	2	0	0	0	0	1	0	0	3	2	0	1	0	3	0	0	0	1	0	0
ENSG00000200761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200764	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200769	17	1	10	0	3	3	3	1	6	7	7	4	2	14	5	5	1	3	0	1
ENSG00000200774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200783	2	0	1	0	2	0	0	1	0	1	1	3	0	1	6	1	1	0	0	0
ENSG00000200785	0	2	0	0	1	0	0	0	0	2	0	0	0	3	0	0	1	0	0	0
ENSG00000200786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200788	7	3	7	1	4	2	0	1	0	6	5	5	0	9	3	3	6	2	1	0
ENSG00000200789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200792	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
ENSG00000200794	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200795	4	2	6	1	21	0	0	0	1	0	3	2	2	3	2	2	2	1	0	190
ENSG00000200796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200799	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0
ENSG00000200800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200812	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000200814	4	1	0	0	0	2	1	1	1	2	1	5	0	2	0	1	0	1	1	0
ENSG00000200815	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	2
ENSG00000200816	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	3	0	0
ENSG00000200817	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000200818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200822	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000200829	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ENSG00000200830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000200831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200834	1	0	0	0	14	1	0	0	3	15	3	2	0	4	3	2	7	0	2	0
ENSG00000200839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200840	0	0	1	0	1	0	0	0	0	3	1	0	2	1	0	0	0	1	0	1
ENSG00000200842	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
ENSG00000200847	0	0	1	0	2	0	0	0	0	1	1	0	0	11	1	0	0	3	1	0
ENSG00000200849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200855	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
ENSG00000200857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200873	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000200874	0	0	1	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000200875	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000200877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200879	2	29	36	18	119	12	12	9	20	16	24	7	11	13	5	15	6	19	19	10
ENSG00000200882	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000200883	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000200884	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0
ENSG00000200885	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000200887	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200888	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	2	0	0	0	1
ENSG00000200889	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000200890	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000200891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200893	6	0	0	0	0	0	0	0	0	2	0	0	0	9	8	0	1	0	0	0
ENSG00000200895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200902	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000200906	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
ENSG00000200913	9	10	13	2	5	5	10	2	9	6	9	9	7	5	11	5	19	7	1	9
ENSG00000200914	5	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	1	0	1
ENSG00000200917	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	2	0	2	0	0
ENSG00000200922	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000200924	14	1	4	0	2	1	1	0	15	5	1	3	5	3	9	3	10	2	0	1
ENSG00000200926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200935	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200941	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000200942	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ENSG00000200949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200953	6	3	5	3	11	0	1	1	9	20	2	5	2	3	0	0	8	2	1	2
ENSG00000200957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200959	0	0	2	0	10	0	0	0	1	3	1	5	0	1	1	0	0	0	0	1
ENSG00000200963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000200966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0
ENSG00000200969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
