TCGA.G2.A2EK	TCGA.BT.A20N	TCGA.FD.A3SJ	TCGA.G2.AA3C	TCGA.DK.A1A7	TCGA.UY.A78L	TCGA.FD.A3SO	TCGA.XF.A9SV	TCGA.DK.A3WX	TCGA.G2.A3IE	TCGA.GV.A40E	TCGA.G2.A2EJ	TCGA.DK.AA6S	TCGA.DK.A3IV	TCGA.FD.A3SQ	TCGA.ZF.AA5H	TCGA.G2.A3IB	TCGA.DK.AA6P	TCGA.XF.A9SU	TCGA.FJ.A871
ENSG00000004897	3020	2866	5942	2011	3588	4522	4041	1222	5414	1288	4398	5598	2368	4204	3343	8525	4432	2151	1747	2944
ENSG00000004939	24	0	1	0	0	1	2	0	1	1	2	0	0	8	4	4	2	11	1	3
ENSG00000004948	17	2	7	3	4	0	6	2	1	0	5	0	2	5	2	39	2	15	2	7
ENSG00000004961	1055	981	979	1078	591	2747	1368	343	2052	928	1991	2030	1011	2245	983	1312	1487	1072	589	1442
ENSG00000004975	1929	1119	2727	890	1001	2246	1363	583	894	1292	1276	913	1060	2860	1743	4749	2932	1275	836	2955
ENSG00000005001	2032	354	383	41	1151	2065	1737	1298	1085	483	5766	5323	4377	2149	3130	3617	14323	717	3828	1075
ENSG00000005007	12082	9029	11891	2900	7324	8384	7571	3815	6752	8514	5496	8670	6864	13296	7646	7667	11579	8541	6796	5807
ENSG00000005020	8694	6885	5242	1200	2760	1884	1611	1799	2118	1795	2323	2215	1206	4120	3203	3945	2085	2698	1100	159
ENSG00000005022	14289	9651	16269	13475	6399	29625	25697	5799	24128	10000	27928	23554	11527	14350	12504	9194	18812	17182	9841	15046
ENSG00000005059	323	342	332	1674	249	2156	824	201	1652	640	2483	3634	608	2639	350	4647	151	112	937	244
ENSG00000005073	154	182	701	137	203	187	122	64	504	444	277	45	648	1527	730	534	481	326	306	566
ENSG00000005075	1824	1228	3660	2663	3101	2799	1853	1195	1885	3075	4032	1623	1271	2413	2106	2147	2603	1347	2793	3436
ENSG00000005100	1841	1134	1718	937	816	1345	1764	308	2334	1064	2078	1016	725	1362	946	2152	2089	2544	440	1728
ENSG00000005102	394	8	167	60	142	1199	76	5	62	43	106	24	80	147	126	10	454	39	201	36
ENSG00000005108	510	190	340	24	148	41	126	54	62	45	20	33	74	117	1550	564	6	72	97	7
ENSG00000005156	1837	1085	6672	547	4758	1472	1443	838	3109	1013	1963	1956	1512	3004	2056	1971	1945	1911	1069	1155
ENSG00000005175	1772	2074	2456	919	3530	909	1026	1254	2309	1396	2281	2089	1257	3114	1289	2057	2171	1821	926	1741
ENSG00000005187	1390	6	495	6	476	40	19	231	16	516	201	14	64	1689	2202	63	8	139	271	185
ENSG00000005189	173	264	1381	366	227	316	250	110	165	181	449	218	109	1672	175	306	400	88	177	278
ENSG00000005194	3033	2003	4426	2611	2399	2700	1637	1307	3986	2383	3312	4690	2284	1906	2766	2326	3879	1284	2534	5930
ENSG00000005206	2817	1711	2983	8393	1672	2481	1345	1854	1766	2503	1950	1261	2071	5895	2714	2406	1345	2093	3118	3742
ENSG00000005238	1041	875	1699	1482	1601	1691	1136	292	2356	621	1044	5185	855	1157	980	4011	756	729	1632	3580
ENSG00000005243	240	238	548	740	126	505	582	529	907	168	2305	1000	803	64	1083	440	1650	73	888	1454
ENSG00000005249	391	40	1583	167	538	204	77	42	61	307	191	73	1008	2125	395	444	297	303	88	896
ENSG00000005302	1948	666	1980	1107	881	2277	1906	631	2250	1649	1786	1332	1395	2526	1340	1605	1746	1645	930	1727
ENSG00000005339	6811	3333	9962	1557	2238	3415	7141	2091	4342	2769	3090	5317	5560	7371	5578	5947	5992	4081	764	3439
ENSG00000005379	1564	122	447	62	152	239	176	137	772	387	66	27	276	1527	1270	91	32	185	116	288
ENSG00000005381	6	1	28	17	3	26	12	5	23	0	31	6	5	11	7	24	0	0	10	2
ENSG00000005421	1	0	0	0	2	4	0	0	0	4	6	0	80	40	0	1	0	1	0	0
ENSG00000005436	1467	1150	1703	575	1076	433	943	372	740	781	1105	1221	556	1095	857	683	858	656	386	572
ENSG00000005448	577	581	2742	1910	1376	598	344	324	520	590	2005	1841	618	753	508	3954	724	605	767	3539
ENSG00000005469	7290	1230	1924	302	2126	459	662	2254	641	12247	1827	2654	2977	5491	18820	590	1734	2306	2299	525
ENSG00000005471	99	8	148	13	40	33	57	12	18	76	20	21	131	73	228	34	14	21	36	18
ENSG00000005483	6029	2007	5967	579	2478	2026	3142	1136	3438	4525	2065	2879	2063	7870	6674	3223	3485	4368	914	2129
ENSG00000005486	2906	2761	4192	5042	2890	5270	2574	2605	4299	5766	8000	2829	2831	4753	8324	4697	7606	1998	3747	5877
ENSG00000005513	50	2	36	2	44	7	8	4	30	1	22	3	110	57	30	21	5	9	34	252
ENSG00000005700	3369	2569	3074	1522	1199	1533	3023	1353	3392	1588	2249	3780	1821	3422	1997	3446	2525	1024	986	1373
ENSG00000005801	1973	241	1723	810	1369	1012	853	598	1936	1453	2393	1135	1113	2695	1461	1061	1058	1447	893	1220
ENSG00000005810	4920	1863	2902	688	1060	2033	3913	1508	4859	3724	2100	6209	1827	7422	4431	6569	5972	2446	805	1120
ENSG00000005812	5597	815	1799	965	1174	1932	2745	762	2160	2682	1714	2750	2142	4562	2640	4759	2036	2299	737	1377
ENSG00000005844	900	36	499	960	333	129	543	72	1230	247	286	394	601	3138	560	1358	82	66	312	84
ENSG00000005882	2295	380	2307	279	774	1281	585	413	836	783	454	1082	751	1694	2146	1872	355	1051	384	1221
ENSG00000005884	27074	18417	19581	23967	12243	17345	15612	4461	46403	6062	85825	48415	14612	25378	45714	165666	26556	9522	11462	2859
ENSG00000005889	1726	846	1875	536	1047	1522	1383	369	3323	1161	1534	3062	775	2145	1186	2707	1664	1452	753	662
ENSG00000005893	6934	4184	4450	4079	2011	18489	11936	2140	15596	3372	13697	19800	11140	9467	9084	12371	11266	3401	1783	4144
ENSG00000005961	39	22	22	4	66	48	77	8	86	16	190	3	55	20	32	63	11	51	24	333
ENSG00000005981	0	0	1	0	1	0	1	0	1	1	0	3	0	0	0	2	0	0	0	0
ENSG00000006007	8252	4589	14526	2818	5564	15675	3944	2051	1846	5167	4264	4368	4703	25852	6656	5301	5418	3351	9135	3834
ENSG00000006015	1291	982	1740	1966	1451	2000	696	644	896	1144	1690	1163	1686	1956	1510	2491	943	1355	3019	3422
ENSG00000006016	160	190	182	32	146	79	52	56	94	92	171	127	83	92	83	219	85	98	1243	9252
ENSG00000006025	1411	237	2632	412	686	1372	224	964	723	580	799	60	1261	1858	1454	1472	620	617	508	823
ENSG00000006042	1501	269	2672	90	2687	675	2565	417	1916	1164	2614	664	2505	6455	1633	3908	1124	301	999	6125
ENSG00000006047	37	360	127	2	168	1018	3	12	3	11	148	2	88	259	15	3	28	88	15	90
ENSG00000006059	25	6	3	0	4	20	0	67	0	11	3	7	3	1	54	2	25	3	17	0
ENSG00000006062	1390	524	2182	765	1368	1556	641	131	937	347	1137	483	1071	3642	977	2688	858	874	279	1875
ENSG00000006071	6	0	10	0	3	0	2	0	0	0	0	1	4	4	2	0	0	5	1	61
ENSG00000006116	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0
ENSG00000006118	1923	1251	4796	1710	1885	8358	3692	1529	10490	1190	53371	19215	21690	1971	4293	3347	11071	1707	3445	11388
ENSG00000006125	12191	3078	20249	8587	11487	5215	5321	2737	15334	10579	11718	12689	10644	15687	14412	32710	10085	7853	5602	17248
ENSG00000006128	0	4	9	2	0	3	0	0	0	2	0	0	0	9	6	0	4	68	4	1
ENSG00000006194	2082	753	2153	1358	1157	1695	1470	953	1402	1244	1478	1854	1349	2219	1604	1906	1282	815	1208	1793
ENSG00000006210	3280	111	1153	360	738	135	185	212	118	735	350	241	1493	1627	7044	693	21	127	433	345
ENSG00000006282	4909	2352	5988	6139	2850	2091	1117	1503	3424	3881	5983	2878	2945	2531	1855	3235	1923	4972	2223	6613
ENSG00000006283	13	6	87	60	3	8	6	12	12	7	54	2	8	18	12	15	6	258	11	380
ENSG00000006327	945	1813	1276	9462	1624	8779	4944	1893	5323	638	18115	10339	2282	3486	4965	16363	4729	137	7275	18942
ENSG00000006377	233	166	111	1	197	161	120	23	46	184	102	43	29	32	3	143	36	100	25	96
ENSG00000006432	1498	1100	494	53	354	587	987	264	2075	1438	3197	3966	316	2073	380	2394	3346	566	172	55
ENSG00000006451	3296	4159	4435	1922	2069	4099	2805	1222	9313	2346	7119	5465	2988	4171	2504	49879	7106	2116	2207	2858
ENSG00000006453	3800	2793	2290	788	1731	4301	4835	1596	3170	2997	7650	6719	1344	8378	2481	7030	6798	2015	3868	638
