TCGA.CD.8531	TCGA.CD.5804	TCGA.FP.7998	TCGA.CD.A4MH	TCGA.CD.8528	TCGA.CD.8530	TCGA.CD.A486	TCGA.CD.8526	TCGA.CD.8535	TCGA.BR.6709	TCGA.CD.A487	TCGA.CD.8525	TCGA.CD.8529	TCGA.B7.A5TN	TCGA.IN.A6RO	TCGA.CG.4305
ENSG00000184371	1286	8207	11948	3774	3266	4508	11239	5457	2729	12599	2017	2805	6211	2331	701	2047
ENSG00000184374	3	6	10	5	3	8	6	17	20	0	12	13	10	1	8	0
ENSG00000184378	34	85	22	131	87	91	40	258	209	124	160	103	56	134	86	283
ENSG00000184381	869	826	894	1781	1234	932	1349	994	1203	269	384	400	804	1546	861	752
ENSG00000184384	947	836	5018	2802	942	2459	984	2754	7676	1785	912	1216	3092	3652	2088	1418
ENSG00000184385	2	0	2	4	0	0	0	6	2	1	0	0	11	0	4	1
ENSG00000184388	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ENSG00000184389	78	0	14	4	2	11	18	26	2	1	5	4	7	3	4	5
ENSG00000184394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184402	703	877	1227	2654	1242	1467	3428	2541	4383	369	1178	1023	2351	1669	1335	1425
ENSG00000184408	45	22	216	15	358	37	227	25	60	19	100	11	186	205	79	45
ENSG00000184414	7	7	9	8	6	18	80	66	18	1	7	17	8	5	6	10
ENSG00000184423	9	0	7	21	11	17	10	9	13	5	6	7	3	6	11	8
ENSG00000184428	1727	1165	1373	2492	4259	2959	3022	3163	2789	1346	1239	1534	947	2397	1721	2779
ENSG00000184432	10769	8434	14710	15662	15984	10152	10783	13003	16114	9744	9920	7367	13895	18238	13227	16300
ENSG00000184434	17	208	174	6785	44	66	43	63	77	5	85	43	524	496	661	90
ENSG00000184436	1266	1770	1524	1263	1792	1399	1804	2067	2083	1049	1919	1372	1911	1639	1602	930
ENSG00000184441	51	103	99	253	30	139	347	309	78	69	41	87	107	176	133	112
ENSG00000184445	5649	1051	3567	4619	5827	1774	2530	5992	5267	1703	2145	1517	1785	2599	9266	2486
ENSG00000184451	303	92	333	124	31	222	175	140	99	66	74	144	604	96	65	25
ENSG00000184454	20	367	1016	1548	19	389	395	431	182	38	12	125	942	367	2091	127
ENSG00000184459	2	1	0	0	1	6	19	4	16	1	0	0	3	1	1	10
ENSG00000184465	494	200	582	1439	669	546	1126	1395	1013	332	551	330	643	1049	1072	999
ENSG00000184470	1305	1882	1066	1288	940	1478	2564	1619	1520	674	1399	879	1318	1008	1874	922
ENSG00000184471	0	0	1	2	1	4	1	4	3	0	1	0	4	2	0	1
ENSG00000184478	0	0	0	0	0	1	11	20	0	0	0	10	49	0	0	0
ENSG00000184481	447	1124	1844	764	615	1175	1332	1412	1883	565	1101	565	2027	2059	408	1078
ENSG00000184486	1	3	4	5	5	8	6	13	7	25	1	2	4	4	10	3
ENSG00000184489	857	6398	3440	7834	1011	5526	5765	6336	5467	2877	3289	4125	4191	1739	1942	509
ENSG00000184492	32	2	20	5	13	6	2	6	13	9	12	11	2	32	80	1
ENSG00000184497	587	899	606	383	185	976	931	569	4884	278	297	348	773	661	187	366
ENSG00000184500	367	797	1399	4612	3776	1764	1438	761	2267	4137	1261	519	1700	1661	4193	6166
ENSG00000184502	2	0	0	0	0	3	22	1	19	0	3	27	20	0	3	1383
ENSG00000184507	6	14	5	6	2	7	28	38	14	1	6	5	14	32	14	37
ENSG00000184508	500	518	374	507	626	533	781	648	493	301	387	231	572	392	1268	496
ENSG00000184515	10	51	74	119	84	329	495	325	164	19	186	319	491	8	235	202
ENSG00000184517	597	347	852	733	631	804	617	1009	1256	723	453	801	952	689	1113	534
ENSG00000184523	8	0	1	4	0	2	1	11	9	1	0	3	1	0	0	1
ENSG00000184524	91	54	102	24	26	53	94	37	29	37	13	21	72	12	14	14
ENSG00000184530	5	7	11	16	3	3024	29	10	24	13	1	1	6	86	15	1174
ENSG00000184544	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000184545	812	2416	665	7012	2384	1557	4072	2063	1441	220	1352	348	2065	6190	3704	1194
ENSG00000184557	2985	8841	6809	6766	4411	8016	13928	8947	2026	4257	6490	9625	13503	7982	2312	2401
ENSG00000184560	0	0	0	0	0	0	2	1	3	2	0	0	0	0	0	0
ENSG00000184564	1	44	32	49	4	35	11	129	26	27	55	24	96	30	12	80
ENSG00000184566	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
ENSG00000184571	0	2	1	9	2	11	16	12	7	2	3	7	5	0	1	21
ENSG00000184574	5416	550	1132	480	921	974	684	414	971	697	509	433	2984	2910	1427	2633
ENSG00000184575	5709	2543	5613	4367	13510	5452	8794	11914	31516	5274	5165	3153	6083	6632	7347	7922
ENSG00000184584	1191	3544	4610	1413	887	3194	2757	2360	1106	4613	2718	2655	5595	4904	1323	2036
ENSG00000184588	8578	705	4021	391	606	1995	671	1451	1235	1748	1012	650	3275	837	295	1820
ENSG00000184599	2	3	1	3	0	6	12	89	27	4	1	14	3	7	2	5
ENSG00000184601	1	0	1	96	0	2	1	1	0	0	2	0	1	0	0	0
ENSG00000184602	655	1908	1875	1109	899	919	2454	1572	788	1477	634	617	2166	1504	1214	1097
ENSG00000184608	1	0	1	3	0	29	3	1	1	2	1	2	4	0	1	3
ENSG00000184611	8	3	91	4	0	11	7	50	4	1	4	0	0	1	12	6
ENSG00000184612	24	6	15	19	26	82	154	39	39	22	27	44	19	40	148	20
ENSG00000184613	7	20	1049	32	21	32	208	641	256	391	49	32	362	25	56	301
ENSG00000184616	50	26	28	34	13	25	19	22	62	28	16	10	37	23	35	33
ENSG00000184617	0	0	0	8	2	2	10	7	3	0	0	13	0	0	0	0
ENSG00000184619	6	10	123	30	25	112	31	64	45	21	39	27	59	25	45	24
ENSG00000184624	40	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0
ENSG00000184634	5405	3634	9383	4970	5117	4355	6882	6452	7286	4247	3896	3292	7348	7216	3042	5066
ENSG00000184635	1131	162	928	1197	369	325	537	2184	868	341	702	410	216	447	20	563
ENSG00000184640	88799	24493	30331	7504	15239	19101	28817	21203	23893	23577	11574	10152	33481	28885	38522	13258
ENSG00000184647	0	1	1	6	1	104	43	4	43	3	0	3	0	4	11	5
ENSG00000184650	0	0	2	0	1	2	0	0	3	0	0	0	1	0	0	0
ENSG00000184659	3	0	0	7	3	1	2	0	18	3	2	2	0	6	13	2
ENSG00000184661	2219	154	1149	1286	1925	754	872	881	2534	380	1510	961	613	424	1689	1369
ENSG00000184669	2	725	386	1447	527	416	179	286	248	17	242	185	757	1165	664	493
ENSG00000184672	2	4	0	0	0	11	5	1	3	0	1	0	37	0	21	21
ENSG00000184675	463	336	2015	797	3063	1093	931	1177	1997	856	560	370	1497	962	709	824
ENSG00000184677	2158	1192	4441	3190	2672	1929	2651	3529	2781	974	1137	880	2522	1424	3103	2736
ENSG00000184678	1264	2768	652	382	786	1131	3005	12321	2263	1028	409	424	1982	1886	900	270
ENSG00000184697	2	3850	3	292	20	20	3352	2661	0	9	8	6321	1	143	12	14
ENSG00000184698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184702	218	534	340	990	174	648	1901	1819	1367	528	231	171	897	707	67	498
ENSG00000184708	1880	1103	2600	1930	2006	1702	1967	1908	2308	1322	897	781	2603	1680	1957	1796
ENSG00000184709	72	137	315	60	525	291	631	21	793	22	1	17	114	175	1358	60
ENSG00000184716	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184719	747	117	167	45	41	181	68	103	44	79	53	47	283	169	24	124
ENSG00000184724	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000184730	2111	1760	2069	1790	1221	789	1286	688	143	433	522	370	2286	1066	158	411
ENSG00000184731	3	294	143	557	1027	798	1603	867	1595	20	64	93	1117	1462	1543	620
ENSG00000184735	2	0	0	47	0	37	1	15	2	0	0	3	1	0	2	0
ENSG00000184741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184743	5443	5622	10315	5846	16709	9985	6430	7830	10305	5587	4933	4219	7531	12974	14595	6510
ENSG00000184752	4195	3083	1972	3549	3324	3080	4584	4302	5983	2936	4946	3116	2574	4464	9456	2417
ENSG00000184761	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
ENSG00000184774	4	14	3	11	3	15	5	16	10	0	2	21	1	14	14	11
ENSG00000184785	82	266	242	715	123	866	510	684	165	319	227	379	273	491	39	161
ENSG00000184786	75	29	85	257	83	94	299	207	145	16	145	43	75	148	299	145
ENSG00000184787	3178	2625	4237	4953	4099	3342	7192	5038	3783	2896	2851	3785	4569	3264	2641	3951
ENSG00000184788	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0
ENSG00000184789	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000184792	101	423	469	5510	427	676	2052	1302	2391	3089	495	557	1039	841	704	291
ENSG00000184795	14	5	3	15	4	3	10	2	65	2	0	2	4	7	11	11
ENSG00000184809	1	46	23	28	0	11	79	35	99	0	3	11	25	0	9	5
ENSG00000184811	1	2	11	0	0	5	1	1	0	3	2	0	6	3	1	14
ENSG00000184814	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	1
ENSG00000184828	45	277	171	208	433	351	130	88	1652	356	462	91	2294	1304	2484	1833
ENSG00000184831	667	1256	695	1053	1060	796	1406	686	2382	336	863	702	709	889	1089	598
ENSG00000184838	497	247	701	263	271	841	209	474	67	252	188	192	533	574	130	358
ENSG00000184840	6812	14442	9249	6679	8129	9741	16262	8184	8422	7095	6242	6218	12694	7310	8735	5161
ENSG00000184844	7	16	2	15	31	21	24	8	30	1	4	11	13	14	27	10
ENSG00000184845	6	61	7	46	9	39	82	23	6	6	14	12	7	10	25	14
ENSG00000184856	0	0	0	59	0	1	5	1	0	8	0	0	0	0	0	1
ENSG00000184857	281	658	439	385	1010	371	676	562	218	278	379	399	697	793	1263	477
ENSG00000184860	329	451	173	118	233	249	522	126	33	27	275	32	314	689	2814	99
ENSG00000184863	3534	1817	4715	5923	2765	2540	3059	4512	3725	2252	1832	1183	2983	3050	5800	5191
ENSG00000184867	269	787	1014	651	373	1231	2126	2437	569	805	709	329	1136	1794	82	607
ENSG00000184887	1933	2658	2344	2307	3210	2358	4867	2815	2013	1441	2003	1291	3068	6102	4280	2336
ENSG00000184895	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0
ENSG00000184897	4791	8155	9723	11358	8547	6480	14829	15557	6279	9114	7765	6087	8995	12991	2440	2576
ENSG00000184898	790	383	1663	740	683	816	579	635	533	291	470	842	622	747	989	339
ENSG00000184900	4675	5351	4548	7336	3881	3040	8678	5910	7565	8175	6407	4145	8910	7019	8203	6304
ENSG00000184903	48	292	238	324	383	695	304	616	543	189	469	120	191	463	380	449
ENSG00000184905	8	341	471	31	0	147	299	187	1	3	379	46	98	27	1	9
ENSG00000184906	3	3	0	0	2	1	0	0	1	0	0	5	2	0	1	2
ENSG00000184908	12	20	5	12	1	35	86	346	25	27	9	35	13	16	7	4
ENSG00000184911	0	0	0	0	0	0	5	19	0	0	0	0	1	1	0	0
ENSG00000184916	764	1579	2549	3482	8388	3189	2915	3710	3457	1560	1581	2703	2998	1745	1068	1499
ENSG00000184922	18088	2247	8175	2525	1227	2086	3912	2882	1453	5642	993	1430	5552	1552	552	2575
ENSG00000184923	20	12	84	47	6	62	76	37	24	91	23	32	49	11	48	10
ENSG00000184924	2544	1001	640	1202	742	1261	1601	1303	593	624	1158	844	570	1222	1088	653
ENSG00000184925	9	178	41	13889	15	48	460	119	154	6	90	125	135	114	48	54
ENSG00000184933	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0
ENSG00000184937	21	151	18	6	117	105	132	34	41	58	104	5	67	11	613	436
ENSG00000184939	951	762	2659	850	867	1403	764	1619	2504	1545	621	637	2536	1559	1954	1834
ENSG00000184945	2	0	0	191	2	0	5	1	0	2	5	1	2	1	1	3
ENSG00000184949	295	98	129	140	128	142	350	314	317	57	233	183	214	201	262	203
ENSG00000184954	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ENSG00000184956	364	876	50	342	6	131331	531	634	166	90	60	103	7477	3386	17	96929
ENSG00000184961	5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000184967	5172	3186	1993	2189	3558	2387	3811	5025	3481	1446	2658	1802	1524	3877	7140	1107
ENSG00000184979	28	385	1322	275	510	319	778	1031	793	309	769	797	692	484	776	401
ENSG00000184983	3535	3775	2482	6022	4034	3632	6564	2362	4666	1460	2906	8228	4421	4058	10232	2961
ENSG00000184984	15	4	26	22	3	17	168	39	77	6	2	62	10	18	15	14
ENSG00000184985	185	230	268	175	153	310	479	255	89	992	92	171	544	328	28	632
ENSG00000184986	57	116	128	43	45	180	358	1374	180	600	56	102	627	191	16	38
ENSG00000184988	817	298	1508	670	517	907	472	493	372	857	527	604	1436	1093	254	892
ENSG00000184990	2326	2983	1806	2729	2018	2032	4470	3466	1960	1991	2596	1880	3357	5258	6096	1581
ENSG00000184991	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0
ENSG00000184992	21483	4642	4569	3525	16894	4378	3723	6711	8811	1084	3642	2631	3191	7544	22130	5253
ENSG00000184995	4	3	0	72	38	7	8	11	10	76	36	2	38	37	67	18
ENSG00000184999	1	1	2	0	2	1	2	6	4	0	8	1	6	0	4	2
ENSG00000185000	1368	8307	2883	15484	7530	4863	8209	4511	3611	2381	2506	1985	8158	5380	7263	9565
ENSG00000185002	4	0	2	271	0	28	12	342	13	5	7	4	53	1	0	20
ENSG00000185008	9	80	140	1041	51	529	140	393	240	57	200	40	738	2649	160	198
ENSG00000185009	5797	2194	5279	3440	3233	4243	2843	3957	12958	2666	3440	3043	6186	4749	6207	5921
ENSG00000185010	478	505	1756	281	216	1320	215	739	1187	1088	334	363	655	319	327	456
ENSG00000185013	26	15	60	22	33	27	4	24	44	11	6	5	11	59	29	15
ENSG00000185015	86	1601	1700	1492	1975	1827	2150	593	461	313	166	789	2133	1172	2305	520
ENSG00000185019	1037	616	1304	2493	794	1167	1622	2482	1770	663	797	319	1066	1308	791	1007
ENSG00000185022	796	2173	1554	2834	1967	2888	2917	1688	3003	734	1210	924	2443	7384	1591	1359
ENSG00000185024	1409	1834	2953	2304	2151	1908	3744	5164	2210	1593	1822	1298	2729	3029	2330	1383
ENSG00000185028	16	3	35	192	2	4	14	191	20	10	0	1	10	0	0	2
ENSG00000185031	1	3	8	12	1	33	12	6	1	2	1	0	3	9	1	9
ENSG00000185033	1790	4862	4537	7246	16188	3591	15468	6939	6433	4326	4544	5602	13525	16564	30058	8182
ENSG00000185037	0	0	0	9	2	3	0	297	2	0	2	0	0	0	0	0
ENSG00000185038	0	2	2	8	4	6	2	406	36	1	2	4	127	183	0	11
ENSG00000185040	5	8	16	34	3	17	7	25	13	1	3	14	19	41	3	1
ENSG00000185043	5535	8563	4599	8801	16967	6985	7588	3906	4272	4404	5713	4435	12990	10307	17970	5396
ENSG00000185046	11	49	94	19	4	154	124	344	67	45	35	37	49	12	4	26
ENSG00000185049	3043	1816	2327	3019	4713	1817	5216	3425	3568	1447	1449	1280	3464	2811	4137	1538
ENSG00000185052	588	431	988	810	1087	4023	903	1214	133	143	673	296	1966	2555	62	853
ENSG00000185053	0	5	0	1	0	3	0	8	1	0	0	0	1	3	0	2
ENSG00000185055	41	23	42	104	73	76	42	128	56	35	18	40	60	49	39	17
ENSG00000185056	1	2	3	4	2	6	54	6	15	1	0	0	0	1	0	1
ENSG00000185065	23	22	36	50	38	19	39	33	50	14	51	37	24	31	41	64
ENSG00000185069	0	0	0	0	0	0	1	1	1	0	0	0	0	9	0	1
ENSG00000185070	563	413	1117	550	280	1982	346	1182	515	554	267	161	1068	784	37	1065
ENSG00000185074	0	0	1	1	1	0	0	2	0	0	3	2	1	1	0	1
ENSG00000185078	8	0	3	11	6	6	12	11	11	4	3	5	8	3	3	6
ENSG00000185085	3291	1576	2618	1968	2055	2085	2748	3732	2843	2677	1919	1690	2620	3323	3386	1652
ENSG00000185088	2819	3487	4237	6619	2858	3701	6238	3004	1670	3606	3285	2661	4919	6363	4719	5497
ENSG00000185090	1001	437	2218	171	2173	415	755	1715	1273	1411	227	985	580	1132	291	72
ENSG00000185100	32	1793	110	813	287	582	2213	447	201	1024	129	425	733	385	133	230
ENSG00000185101	818	1337	1658	37023	3560	2073	5934	1385	1980	272	1776	1227	1880	2201	1367	2506
ENSG00000185104	5688	2122	3036	3187	4018	2988	3911	5550	4366	2300	1647	2254	3010	3236	6288	3270
ENSG00000185105	2	16	4	0	21	3	32	49	16	3	4	16	63	8	195	1
ENSG00000185112	797	690	1185	1499	329	2717	794	1304	1923	2189	369	348	2121	572	883	467
ENSG00000185115	2471	780	1468	1522	1415	1320	2999	2060	1779	906	822	965	1415	2219	990	725
ENSG00000185122	9706	10247	6061	5285	10535	7305	14731	14788	13452	12711	4600	3828	7101	10640	12664	6156
ENSG00000185127	1862	632	2701	2101	2949	1709	2477	4569	1292	929	1088	1057	2184	2631	5844	1854
ENSG00000185129	3301	2395	3807	5045	3602	7576	4678	4307	3784	2133	3291	2221	5500	5843	4584	2568
ENSG00000185130	34	13	23	27	36	13	22	81	57	14	33	12	22	7	134	4
ENSG00000185133	3182	132	653	4124	154	310	900	502	431	174	189	267	815	614	1002	437
ENSG00000185149	0	2	0	1	0	3	1	20	3	0	0	0	10	1	0	0
ENSG00000185155	3780	17	182	70	3	65	168	193	122	114	28	113	175	19	4	33
ENSG00000185156	4	15	5	548	6	152	564	550	33	4	241	186	35	570	4	19
ENSG00000185158	455	414	833	1555	127	545	936	804	838	239	378	264	467	786	271	359
ENSG00000185163	2299	1256	1776	1735	2629	1803	2829	5266	3802	1011	1385	1250	1548	2177	2881	1216
ENSG00000185164	2471	754	2836	624	2691	1112	1064	1822	1106	1035	355	148	2204	1240	1994	767
ENSG00000185168	0	44	7	128	3	8	785	44	6	13	15	12	10	47	27	14
ENSG00000185176	0	0	2	174	4	1	25	5	9	0	2	0	15	6	0	1
ENSG00000185177	0	0	61	1	0	0	3	20	4	0	0	0	0	0	0	2
ENSG00000185182	0	0	0	0	0	41	6	0	0	0	0	0	0	0	0	0
ENSG00000185186	0	2	3	1	3	2	4	1	0	12	0	1	4	4	1	4
ENSG00000185187	1193	4325	2661	9069	2019	3069	7772	4335	5054	1697	2608	2141	3042	5051	2729	1853
ENSG00000185189	1353	3390	1442	2397	1257	1878	4554	2285	3332	889	1191	743	2157	4005	2001	3181
ENSG00000185198	2	1	1	3	4	6	3	1	0	3	0	3	7	5	309	2
ENSG00000185201	9232	9674	5662	6201	3058	12429	5910	4410	16466	12481	13139	11850	7000	19507	8432	3496
ENSG00000185203	2	0	0	36	0	0	21	1	1	0	0	0	0	2	0	1
ENSG00000185215	1273	8033	7997	1773	8929	4098	47297	3574	3182	9432	4845	9280	10886	22834	7534	4708
ENSG00000185219	1877	629	3386	2066	2735	2338	2158	3028	3783	1774	1144	860	2266	1549	2098	1443
ENSG00000185220	301	300	626	493	601	362	412	623	580	268	258	166	600	374	616	526
ENSG00000185221	1	0	1	0	0	1	4	4	0	1	1	0	1	1	6	6
ENSG00000185222	528	5651	1277	24737	1073	11028	6067	2702	2435	2770	7100	4142	4192	9196	1539	1185
ENSG00000185231	1	13	4	18	3	33	0	3	0	0	19	0	10	58	0	7
ENSG00000185236	10078	7367	7547	12238	4074	8188	8714	7379	7352	11066	8857	6130	8542	12952	4797	6012
ENSG00000185238	1073	536	1163	2266	4873	1025	1773	2028	2770	725	918	885	1098	1287	3172	1211
ENSG00000185245	138	84	461	46	10	76	303	169	104	118	47	141	179	85	85	47
ENSG00000185246	2542	549	1397	2524	1182	1313	2090	1704	1281	817	840	766	1054	1522	1944	1911
ENSG00000185247	0	3	0	142	0	59	1680	1563	134	0	577	92	0	123	2	0
ENSG00000185250	38	58	93	83	590	72	72	141	354	111	35	49	94	405	237	72
ENSG00000185252	91	774	1693	992	2121	973	1057	2230	1887	393	1129	652	1203	1049	727	713
ENSG00000185261	35	32	235	87	77	150	50	263	103	103	61	31	115	154	59	94
ENSG00000185262	12008	7665	6277	3052	2114	4470	7670	9504	7413	3891	3472	4961	5668	12284	9642	2744
ENSG00000185264	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSG00000185267	45	46	67	32	19	117	49	69	159	40	99	37	62	71	91	80
ENSG00000185269	15	79	7	4111	56	103	1003	344	34419	106	144	109	216	180	38	44
ENSG00000185271	1	6	14	5	10	27	4	5	9	1	6	2	14	6	16	4
ENSG00000185272	1	5	34	74	1	31	199	136	0	3	19	23	45	81	1	4
ENSG00000185274	108	118	163	242	15	652	63	206	16	90	38	11	278	247	43	237
ENSG00000185275	3	14	136	31	9549	141	19	61	37	30	10	68	42	148	289	20
ENSG00000185278	853	418	1715	769	624	1066	1445	1354	895	1277	493	450	952	542	561	751
ENSG00000185290	0	1	0	0	1	11	2620	2	2	0	3	62	1	0	1	2
ENSG00000185291	453	858	1235	302	169	1770	769	656	175	441	284	408	948	576	1205	327
ENSG00000185294	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0
ENSG00000185296	1	0	0	0	0	8	4	1	4	1	1	0	1	0	1	2
ENSG00000185298	1828	2556	1695	1459	1726	1562	2804	5188	1443	1254	2238	1304	1802	2496	2572	873
ENSG00000185303	0	27	53	4	29	13	670	187	9	4	176	109	397	49	303	0
ENSG00000185304	11	19	103	257	1	6	84	97	3	25	17	14	33	162	77	8
ENSG00000185305	535	975	1642	1353	1165	2787	749	1552	610	601	452	568	1632	1779	1309	1569
ENSG00000185306	9	3	3	102	361	117	82	1393	195	0	14	256	10	212	5	8
ENSG00000185313	1	0	0	2	8	7	0	11	2	0	0	0	4	0	0	1
ENSG00000185319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185324	1455	3710	2585	6724	2517	2064	4212	2435	3449	1348	1444	1687	2714	2735	2639	3554
ENSG00000185332	1	106	5	25	21	2	109	82	34	15	54	50	24	84	112	16
ENSG00000185338	6547	1721	2004	5625	768	865	3613	921	320	996	340	1337	927	604	638	265
ENSG00000185339	1222	1058	4518	760	1069	1595	3196	1345	855	2885	460	716	4018	1892	582	2758
ENSG00000185340	554	2415	2080	2002	9846	2536	3142	3705	2008	2178	1261	1515	5081	3428	4836	1537
ENSG00000185344	3874	819	2252	1379	1858	2585	1778	3640	5188	1505	978	695	1517	2301	1862	2137
ENSG00000185345	29	112	321	42	44	246	179	396	329	47	64	29	163	145	155	124
ENSG00000185347	703	612	839	1020	1035	432	1683	2293	622	415	1042	510	727	1419	2858	391
ENSG00000185352	3	18	6	28	18	1151	304	28	4	3	37	6	19	6	0	7
ENSG00000185359	6351	5407	7679	7021	6347	4761	11779	8358	6287	5746	4663	2744	6461	11174	8565	4378
ENSG00000185361	3695	1811	3668	2123	1727	3678	2403	3400	2562	989	2115	1653	3029	1868	1998	1121
ENSG00000185372	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0
ENSG00000185379	845	448	1432	1217	876	989	2151	1437	3126	816	745	669	1256	1590	1011	976
ENSG00000185385	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000185386	612	467	668	101	141	444	539	600	416	460	135	529	585	341	92	250
ENSG00000185390	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ENSG00000185404	1680	1288	2242	3158	1108	1604	1760	1901	2470	757	1570	671	1120	2501	2693	942
ENSG00000185414	2157	1138	1741	2675	4072	1999	1975	3545	3007	1527	1324	1153	1304	2067	2134	2115
ENSG00000185418	1289	247	653	992	773	845	1257	694	524	741	465	299	1093	738	959	646
ENSG00000185420	280	230	185	385	332	441	444	584	659	204	181	308	348	329	246	266
ENSG00000185432	4240	4378	6284	9482	3196	8703	3797	3603	817	3415	1570	2225	5662	5630	695	2312
ENSG00000185433	12	0	17	7	2	1	0	3	0	7	1	1	6	1	2	14
ENSG00000185436	4486	147	541	3356	1315	574	889	1448	446	263	231	143	591	716	441	768
ENSG00000185437	42	199	171	109	49	176	284	164	244	84	140	67	101	111	128	110
ENSG00000185442	315	1693	295	2414	1176	642	2924	1613	2091	387	328	750	4773	2436	2872	497
ENSG00000185448	4	0	0	0	0	2	0	25	1	0	0	0	0	0	0	4
ENSG00000185453	1675	920	1336	670	822	1044	754	2154	1108	443	762	714	1022	837	901	213
ENSG00000185467	2	345	110	89	217	176	986	151	33	2	46	159	430	873	446	438
ENSG00000185475	3035	3676	3075	5573	3478	4217	6897	9606	5088	2243	2930	3608	3894	8123	11435	4654
ENSG00000185477	3320	1026	8308	2292	2559	5166	1328	1378	503	1564	347	622	4108	861	491	2470
ENSG00000185479	0	1539	68	17	3	110	1134	3	3722	2	11	365	12783	1556	0	109
ENSG00000185480	942	298	885	1164	2648	757	1098	2072	2994	319	913	563	752	1120	1938	869
ENSG00000185482	3011	235	439	102	173	222	274	229	152	296	81	273	415	181	249	270
ENSG00000185483	259	797	927	480	2187	2008	486	1509	641	584	624	498	1243	928	2099	946
ENSG00000185485	316	679	316	1004	962	1166	1097	560	737	223	457	437	605	923	405	627
ENSG00000185495	99	160	215	863	140	240	257	327	321	61	283	193	269	317	427	274
ENSG00000185499	95	107413	41462	5357	18926	6788	55418	3527	5923	995	27249	18339	88125	68608	72423	18887
ENSG00000185504	3030	2675	3287	2103	2446	2858	6706	4194	1949	2466	2864	1586	4098	5911	2527	2176
ENSG00000185507	1038	4769	2721	2336	1637	1475	6034	5828	3553	1970	5882	4833	3403	5786	1832	955
ENSG00000185513	171	289	419	2311	38	650	1236	1298	395	157	394	731	437	117	406	642
ENSG00000185515	2210	1910	3213	2972	5660	1469	1851	800	2339	1346	1446	1249	3078	6542	4684	2314
ENSG00000185518	177	190	433	1711	54	682	1546	243	108	40	139	58	424	40	8	109
ENSG00000185519	3313	43	4	24	11	126	209	300	350	94	56	53	13	7	37	22
ENSG00000185522	176	270	227	877	262	190	908	195	167	119	166	66	252	351	117	190
ENSG00000185523	4	4	1	2	2	5	0	2	8	2	8	0	7	2	27	2
ENSG00000185527	59	41	80	18	29	59	64	114	21	125	10	29	90	31	11	82
ENSG00000185532	344	770	1481	699	620	1924	734	884	314	233	801	264	974	1785	388	565
ENSG00000185551	1298	5756	8107	4167	3969	18438	5484	6889	4665	1353	4267	2897	7508	12556	10666	3784
ENSG00000185559	3	2	0	6	2	10	8	1	5	0	3	6	2	0	1	6
ENSG00000185561	124	2119	1657	2051	1401	2353	4697	2528	2562	370	1355	1189	2517	5436	1935	1111
ENSG00000185565	11710	318	1355	1231	708	2484	359	1995	538	409	328	463	1991	1893	264	1706
ENSG00000185567	1083	3642	10991	595	1933	7193	1006	2077	8061	6124	4481	1859	9356	11997	13836	9246
ENSG00000185585	2207	2069	2339	1340	1372	2552	3306	4828	3419	2446	952	780	5038	3722	1363	899
ENSG00000185591	8776	5936	20882	10019	12879	9660	8975	13171	17788	6811	8117	7269	11189	15616	14278	9734
ENSG00000185594	2	0	4	0	0	2	0	6	0	2	0	0	2	0	0	2
ENSG00000185596	233	309	328	747	262	296	543	525	471	278	247	421	281	684	126	322
ENSG00000185607	140	91	52	103	90	123	77	74	75	20	57	58	53	62	121	68
ENSG00000185608	2438	1917	1663	1833	2343	1317	2843	1851	2183	1098	4522	1877	1748	1749	1384	1491
ENSG00000185610	0	2	3	0	0	14	0	3	0	0	3	3	2	0	0	3
ENSG00000185614	377	155	107	72	53	223	124	128	57	79	63	88	124	102	22	41
ENSG00000185615	159	50	150	44	971	295	56	85	8	6	45	136	32431	921	12	601
