TCGA.CD.8531	TCGA.CD.5804	TCGA.FP.7998	TCGA.CD.A4MH	TCGA.CD.8528	TCGA.CD.8530	TCGA.CD.A486	TCGA.CD.8526	TCGA.CD.8535	TCGA.BR.6709	TCGA.CD.A487	TCGA.CD.8525	TCGA.CD.8529	TCGA.B7.A5TN	TCGA.IN.A6RO	TCGA.CG.4305
ENSG00000006606	711	330	33	16	49	14946	57	58	33	16	14	125	90	30	10	48
ENSG00000006607	2506	2538	6989	7861	8805	3677	3568	4818	5357	1058	2166	1486	5469	5294	5555	3661
ENSG00000006611	29	3528	5395	25849	6517	589	2327	1579	5748	24	2049	1310	5839	10083	15649	5705
ENSG00000006625	469	2060	1325	5543	4183	1975	5801	2669	3694	1120	1699	1755	2923	3036	3797	2232
ENSG00000006634	2166	680	1394	3976	4324	1315	4505	2526	3304	576	1374	1034	1730	972	3547	1408
ENSG00000006638	285	401	594	177	158	1146	399	652	276	161	83	157	572	383	147	76
ENSG00000006652	1278	1323	1353	5654	2924	3284	1748	3308	6512	1203	1357	632	1430	2571	2043	1996
ENSG00000006659	0	0	1	62	0	0	1	0	1	0	0	0	0	1	0	0
ENSG00000006695	1418	973	1452	1214	2084	993	1644	2078	2067	602	976	294	963	1177	1631	1348
ENSG00000006704	157	1640	1866	8552	2677	2189	3417	3039	7617	1870	2188	1469	2598	3578	1659	1428
ENSG00000006712	3881	3820	2971	6708	1871	3468	3034	8003	6363	3442	1796	1696	2851	2605	3812	1969
ENSG00000006715	2772	2394	4833	4416	3614	5307	7588	4249	5639	2039	2565	1756	4450	4364	3052	5285
ENSG00000006740	7409	734	2394	238	353	1346	1572	4873	2326	150	873	310	1146	1253	381	439
ENSG00000006744	9807	3773	6372	3018	6389	3629	5128	12030	4715	2488	2298	1423	3074	3880	3366	5105
ENSG00000006747	23	1806	289	382	2411	1060	399	745	499	71	236	324	1998	930	440	457
ENSG00000006756	374	4207	4654	6051	6361	3810	3967	2277	2760	5024	2573	4018	5372	6796	13819	1749
ENSG00000006757	67	556	998	300	2994	280	1080	637	759	665	114	525	523	173	1053	1033
ENSG00000006788	30	2	5	2	7	97	6	72	6	6	6	12	16	1	1	11
ENSG00000006831	5281	3465	4707	7530	6801	5061	6459	11228	3838	30664	2781	3220	6717	6162	16306	5449
ENSG00000006837	56	37	49	54	22	73	102	74	109	31	62	16	34	33	51	32
ENSG00000007001	1	1	10	6	3	6	5	10	10	2	2	14	6	19	25	6
ENSG00000007038	6	673	12	25	5	1486	234	589	2	79	1024	17	191	34	2	296
ENSG00000007047	2818	2763	2933	2140	803	2648	3261	6199	7273	3671	1356	1460	2521	3593	1692	1366
ENSG00000007062	47	4430	1067	9644	13456	2357	45703	1617	4798	14	1599	4988	5182	13657	11295	711
