TCGA.86.7954	TCGA.55.5899	TCGA.97.8547	TCGA.50.6590	TCGA.55.7281	TCGA.49.AAR4	TCGA.55.8301	TCGA.86.8054	TCGA.55.7994	TCGA.50.5933	TCGA.50.5051	TCGA.55.7995	TCGA.55.1596	TCGA.49.AAR2
ENSG00000005812	3528	1128	1045	1920	1982	1051	2132	2490	3162	2206	910	3050	845	914
ENSG00000005844	7489	1184	794	3146	1381	5438	5403	561	6250	1797	477	9406	1439	1622
ENSG00000005882	1502	516	924	514	859	456	802	1354	1138	951	431	1519	900	694
ENSG00000005884	13396	3112	28688	25010	48732	45206	14671	4241	124595	35245	11924	8689	2143	13834
ENSG00000005889	5120	495	857	1764	1221	664	1482	1232	1595	1086	1161	6538	1079	779
ENSG00000005893	24463	13088	7817	5904	12538	5326	9612	10616	12689	14251	6679	23367	6671	3471
ENSG00000005961	75	17	48	17	32	105	55	66	23	23	17	299	30	19
ENSG00000005981	10	238	4	5	2	51	7	1518	1011	3	9	41	3	5531
ENSG00000006007	6396	4486	3470	5029	5751	2250	5674	5895	9758	3464	3055	10912	4451	2966
ENSG00000006015	1469	572	795	642	486	1498	795	525	798	323	736	2273	757	3099
ENSG00000006016	10999	196	25	83	833	5218	420	6019	76	78	14891	194	61	808
ENSG00000006025	2847	436	1177	237	619	1722	871	489	4489	664	456	2010	760	2165
ENSG00000006042	9285	511	2074	396	7317	2452	1725	5414	1297	673	818	7345	2520	2982
ENSG00000006047	593	1146	7	625	1	35	265	55	237	474	814	788	691	723
ENSG00000006059	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000006062	1985	410	704	2034	1630	928	1806	544	1595	924	381	2673	1451	774
ENSG00000006071	26	1121	23	0	1	4	2	2200	2	0	89	77	1	55
ENSG00000006116	0	0	0	0	0	2	0	0	1	0	2	0	0	1
ENSG00000006118	4862	4547	2422	3970	1955	2470	3186	9785	2301	1668	2138	4962	1173	1926
ENSG00000006125	34161	16426	10936	9151	13194	9833	12579	21851	35782	16509	6030	8613	6761	4768
ENSG00000006128	1	66303	0	0	0	0	0	1	0	0	0	0	5	0
ENSG00000006194	2853	782	792	1043	1200	883	1571	2099	1515	1330	1088	5641	1393	1502
ENSG00000006210	5286	1120	13530	1576	5618	5197	4893	624	14072	13473	515	1219	420	723
ENSG00000006282	6469	2926	4532	1544	2318	4677	3350	2524	7515	1940	1881	6984	4074	7067
ENSG00000006283	26	9	45	21	273	17	51	197	26	17	34	19	5	5
ENSG00000006327	4467	446	2904	4475	8562	4561	2272	631	4618	5706	1629	2138	1856	2120
ENSG00000006377	245	94	0	30	5	0	330	826	2	9	11	52	39	0
ENSG00000006432	1549	1360	493	1764	1052	2112	840	1441	4521	1132	867	2018	621	522
ENSG00000006451	4303	4583	2351	6976	3435	2817	4377	5675	4597	8340	2205	4270	1797	1552
ENSG00000006453	8951	2318	3163	3248	2898	3896	4010	3027	10117	3448	1770	7880	4842	3369
ENSG00000006459	5511	835	1052	1093	1375	1531	2103	4430	2031	1270	1102	3989	737	1195
ENSG00000006468	809	370	2528	288	1260	373	1270	3390	6209	1714	554	886	265	132
ENSG00000006530	2665	1561	939	1579	1204	1421	1960	2877	3450	1101	1101	2440	1077	1418
ENSG00000006534	4281	1012	1120	2273	5391	3397	6142	858	5907	2880	5048	8412	13195	10178
ENSG00000006555	1420	547	611	299	1276	674	672	68	1179	911	238	1240	1009	1229
ENSG00000006576	2893	947	837	1985	1039	929	1789	3630	2959	1788	1077	4042	1772	979
ENSG00000006606	84	27	8	70	13	15	29	14	15	25	11	17	27	34
ENSG00000006607	3374	1464	684	1544	1342	1386	1974	2711	3643	1993	936	4073	870	861
ENSG00000006611	215	77	2	5	6	29	3	4596	8	0	7	249	162	1641
ENSG00000006625	2839	3409	2782	1756	1753	1563	3060	5305	1935	2388	2114	2641	2519	1798
ENSG00000006634	1012	793	281	1761	294	492	849	2255	2338	594	434	1309	1104	491
ENSG00000006638	190	109	101	135	128	97	144	52	113	244	103	87	63	153
ENSG00000006652	5447	5145	1395	2738	1190	2018	2798	3690	6555	3205	1724	7097	1229	1358
ENSG00000006659	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	987	604	294	1372	438	274	691	1730	795	817	409	1296	522	668
ENSG00000006704	3835	1052	1089	1994	1792	1852	1084	2895	2368	2902	1603	2558	1606	1889
ENSG00000006712	4299	2063	1353	3255	3196	3199	3469	5229	2798	2733	1504	9831	1591	2697
ENSG00000006715	4287	5619	2359	2218	2498	1176	3239	4499	6166	4918	1273	4835	2619	1379
ENSG00000006740	1897	105	512	175	426	368	1913	3789	219	196	427	3981	440	715
ENSG00000006744	5288	2722	1586	4908	2126	1686	3722	3695	2934	2598	2020	4977	2294	3902
ENSG00000006747	1612	7854	1575	357	927	1390	3533	7356	1057	547	8010	756	97	661
ENSG00000006756	24356	2314	5687	1824	7642	2553	488	3065	2050	2203	12964	11792	3410	3664
ENSG00000006757	944	469	676	821	1017	506	149	373	687	336	611	881	1241	354
ENSG00000006788	1	2	18	46	3	4	10	6	195	8	3	7	21	2
ENSG00000006831	6523	1951	1862	6024	2752	2108	3605	8430	5738	3299	1724	13202	4828	2636
ENSG00000006837	80	17	19	26	25	29	49	63	26	37	32	38	20	16
ENSG00000007001	14	3	3	0	14	16	4	1	3	1	17	12	1	2
ENSG00000007038	622	434	760	1053	14	13	5	12	1022	235	11	309	178	43
ENSG00000007047	3490	1114	700	2067	1541	1718	1703	3210	2049	1545	1121	2225	944	1150
ENSG00000007062	3437	7016	124	4	51	720	61	2354	33	14	50	3694	3374	15
ENSG00000007080	2815	1413	2065	2462	3370	1816	2682	2327	2593	1464	1634	3274	1994	3304
ENSG00000007129	366	41	73	85	152	98	240	145	221	144	39	324	30	81
ENSG00000007168	11571	7094	2539	8039	4498	3652	5842	10506	9569	6451	3561	10640	3364	3584
ENSG00000007171	102	29	16	17	100	35	117	24	22	28	6	35	16	25
ENSG00000007174	402	12	37	4	95	510	2	24	28	2	25	5	139	2
ENSG00000007202	16704	8078	5118	8122	6197	5182	7160	29889	24491	6840	3891	26068	5345	4602
ENSG00000007216	253	0	2	0	64	1	13	46	1	0	2	2225	3	7
ENSG00000007237	2528	861	1242	1582	1494	1180	2461	1293	2065	2740	383	3464	426	472
ENSG00000007255	640	715	566	417	835	1034	1210	537	533	426	700	1427	862	551
ENSG00000007264	260	129	144	116	588	683	573	72	349	246	72	723	140	72
ENSG00000007306	285	1	6	0	147	17	42	32	84	2	25	40	2	5
ENSG00000007312	484	101	45	611	119	551	1307	90	771	89	233	1389	145	558
ENSG00000007314	279	4	4	16	10	8	104	3843	49	18	8	296	10	59
ENSG00000007341	1024	382	153	227	254	367	473	754	671	583	181	347	386	512
ENSG00000007350	6	12	1	18076	2	3	12	30	5	3	252	42	30	20
ENSG00000007372	71	31	34	62	52	39	69	86	53	29	23	70	15	39
ENSG00000007376	2217	630	776	1622	946	708	1311	755	1054	1239	1107	2922	1340	3082
ENSG00000007384	4671	498	1727	1112	3315	1280	1862	1347	2618	1521	2291	4245	2307	2252
ENSG00000007392	2946	1236	1668	506	1860	1995	1964	2705	1539	724	1912	3899	1176	4452
ENSG00000007402	1549	1168	209	55	120	75	890	6838	183	47	6564	329	33	2819
ENSG00000007516	449	315	340	241	406	427	334	991	635	1256	797	649	433	879
ENSG00000007520	3004	1122	1416	1466	2383	1443	2313	1471	1827	1731	1389	4245	2032	2401
ENSG00000007541	4565	1132	2053	1335	2739	1845	2711	1458	3015	1763	2994	6020	2279	3666
ENSG00000007545	1347	359	502	707	806	828	906	972	975	780	724	2403	430	995
ENSG00000007866	4956	499	1464	2904	1629	1551	1460	2345	4044	2194	1438	3471	2092	3156
ENSG00000007908	496	48	14	40	34	34	36	86	116	86	50	243	40	50
