TCGA.95.A4VK	TCGA.50.5055	TCGA.NJ.A7XG	TCGA.55.8615	TCGA.73.A9RS	TCGA.55.7914	TCGA.53.7624	TCGA.55.7281	TCGA.55.A48Z	TCGA.69.7974	TCGA.69.A59K
ENSG00000011677	6	3	0	2	0	0	678	63	1	3	2
ENSG00000012048	582	194	262	449	437	570	1810	476	1212	2732	5819
ENSG00000012061	3999	1514	1751	2208	1982	2464	2653	2382	2329	4418	1948
ENSG00000012124	1189	3131	89	83	57	324	178	122	171	922	469
ENSG00000012171	1419	377	1528	671	279	224	698	3038	815	8935	807
ENSG00000012174	1212	512	400	1129	492	1104	2213	531	1283	2147	1185
ENSG00000012211	413	231	468	753	517	475	748	291	749	823	2125
ENSG00000012223	4643	16664	318	64	690	5047	31	734	191	3210	1882
ENSG00000012232	1156	1037	3726	1533	345	1031	792	2526	4936	6449	1562
ENSG00000012504	127	19	2	0	0	1	2	0	30	0	0
ENSG00000012660	5966	4290	3331	6398	3351	2485	33458	4536	4420	6677	4735
ENSG00000012779	2748	1928	1545	797	217	695	5506	5522	2143	4628	2464
ENSG00000012817	0	0	1734	5793	232	0	0	1	1	2	0
ENSG00000012822	6502	1637	5700	3283	1882	2674	4468	2843	2923	4719	5278
ENSG00000012963	1208	1153	1481	886	641	1967	1775	1139	3176	2181	2030
ENSG00000012983	2414	721	1728	1698	1569	2793	1325	1042	3042	4568	1565
ENSG00000013016	804	721	451	1092	179	891	521	633	594	995	999
ENSG00000013275	5098	3028	3406	4630	2849	3545	11019	4335	6678	6154	2939
ENSG00000013288	4492	2366	4631	2293	2818	2237	5339	3064	3496	6655	3918
ENSG00000013293	0	1	0	3	0	0	9	0	2	3	1
ENSG00000013297	92	147	79	256	19	47	398	121	232	79	107
ENSG00000013306	6165	4498	8878	8946	3770	9218	5012	9751	10576	19812	11654
ENSG00000013364	34799	7979	49091	10130	9000	12662	9885	46865	16176	32992	51797
ENSG00000013374	3682	2448	3590	2205	1798	3160	3810	3845	3487	6592	9626
ENSG00000013375	2339	1050	2113	1959	2477	1317	3371	1478	1955	3483	1673
ENSG00000013392	453	314	361	335	325	364	307	287	353	408	397
ENSG00000013441	4264	1453	6109	2669	2614	2280	1378	3072	3721	4851	6693
ENSG00000013503	289	211	444	447	367	737	907	376	307	591	562
ENSG00000013523	1432	500	1135	920	629	937	1150	465	1256	1776	1839
ENSG00000013561	1135	1955	2987	1694	1049	1971	1922	1499	2160	2897	2607
ENSG00000013563	1729	549	1836	660	537	1126	2369	1495	2633	1880	2234
ENSG00000013573	941	191	818	1843	727	722	1393	736	2097	1416	2211
ENSG00000013583	1643	1556	2255	1187	478	1122	1295	2597	1662	2802	1920
ENSG00000013588	72299	8207	72210	13152	12817	21968	35649	49886	8561	62005	20253
ENSG00000013619	184	131	701	1062	23	251	162	192	347	798	284
ENSG00000013725	1282	1279	250	139	252	819	354	394	715	956	626
ENSG00000013810	2447	1454	831	1416	3568	1302	8964	1859	2651	4559	6050
ENSG00000014123	2287	1336	2384	1314	1174	1565	2176	1445	2316	3031	1831
ENSG00000014138	1045	650	751	565	1146	611	3547	795	1364	2401	1782
ENSG00000014164	1564	623	1747	1889	1066	1152	1773	1317	3611	2454	2429
ENSG00000014216	16280	7173	24176	10490	8717	10679	21285	18980	11432	45841	13646
ENSG00000014257	247	70	454	272	759	177	37	119	137	585	374
ENSG00000014641	5547	3619	4075	3791	3723	5765	10114	5317	4007	7040	6517
ENSG00000014824	2973	1676	3683	2676	1660	5671	7196	1998	2047	4708	3935
ENSG00000014914	8122	230	2001	2546	241	2743	838	605	2524	1139	745
ENSG00000014919	2552	861	2004	1921	1050	2109	3322	947	1580	2567	1857
ENSG00000015133	3764	1430	2021	3343	2162	4092	922	1710	6242	3220	1832
